CaseID,Activity,Timestamp,Resource,Cost
PO-1008,Create PO,2024-02-22 12:38:45,Buyer C,85
PO-1008,Approve,2024-02-22 20:20:06,Manager X,114
PO-1008,Send to Vendor,2024-02-23 00:29:10,System,151
PO-1008,Receive Goods,2024-03-01 06:31:05,Warehouse,83
PO-1008,Receive Invoice,2024-03-02 23:49:42,AP Clerk 2,168
PO-1008,Pay,2024-03-04 05:37:22,AP Clerk 2,88
PO-1009,Create PO,2024-02-14 03:35:54,Buyer B,79
PO-1009,Approve,2024-02-14 21:22:53,Manager X,41
PO-1009,Send to Vendor,2024-02-15 04:38:58,System,137
PO-1009,Receive Invoice,2024-02-19 18:35:13,AP Clerk 1,47
PO-1009,Receive Goods,2024-02-24 09:07:01,Warehouse,111
PO-1009,Pay,2024-03-03 19:32:59,AP Clerk 2,87
PO-1010,Create PO,2024-03-05 13:55:16,Buyer B,196
PO-1010,Approve,2024-03-06 06:19:04,Manager Y,118
PO-1010,Send to Vendor,2024-03-06 08:45:58,System,41
PO-1010,Receive Invoice,2024-03-11 02:32:44,AP Clerk 1,196
PO-1010,Receive Goods,2024-03-14 04:08:03,Warehouse,121
PO-1010,Pay,2024-03-22 22:16:48,AP Clerk 2,50
PO-1011,Create PO,2024-01-29 20:03:26,Buyer B,59
PO-1011,Approve,2024-01-30 20:46:44,Manager X,84
PO-1011,Send to Vendor,2024-01-31 01:47:02,System,172
PO-1011,Receive Goods,2024-02-09 19:37:30,Warehouse,48
PO-1011,Receive Invoice,2024-02-13 14:37:46,AP Clerk 2,178
PO-1011,Pay,2024-02-26 11:52:33,AP Clerk 2,87
PO-1012,Create PO,2024-02-25 20:30:15,Buyer C,77
PO-1012,Approve,2024-02-26 10:30:05,Manager X,113
PO-1012,Send to Vendor,2024-02-26 15:22:35,System,110
PO-1012,Receive Goods,2024-03-01 17:35:20,Warehouse,69
PO-1012,Receive Invoice,2024-03-05 15:05:03,AP Clerk 2,29
PO-1012,Pay,2024-03-17 22:05:44,AP Clerk 1,155
PO-1013,Create PO,2024-03-30 19:37:42,Buyer A,194
PO-1013,Approve,2024-03-31 16:00:49,Manager Y,148
PO-1013,Send to Vendor,2024-03-31 21:20:51,System,125
PO-1013,Cancel,2024-04-05 10:25:35,Manager X,127
PO-1014,Create PO,2024-02-11 16:21:17,Buyer C,44
PO-1014,Approve,2024-02-11 20:02:25,Manager X,131
PO-1014,Send to Vendor,2024-02-12 01:34:17,System,93
PO-1014,Receive Goods,2024-02-21 21:59:45,Warehouse,96
PO-1014,Receive Invoice,2024-02-24 13:18:39,AP Clerk 1,112
PO-1014,Pay,2024-03-01 08:06:02,AP Clerk 2,155
PO-1015,Create PO,2024-01-19 00:17:05,Buyer A,171
PO-1015,Approve,2024-01-19 15:09:45,Manager Y,75
PO-1015,Send to Vendor,2024-01-19 17:28:45,System,179
PO-1015,Receive Goods,2024-01-26 09:39:11,Warehouse,141
PO-1015,Receive Invoice,2024-01-28 13:02:42,AP Clerk 1,94
PO-1015,Pay,2024-01-31 03:10:44,AP Clerk 2,144
PO-1016,Create PO,2024-03-26 22:17:49,Buyer C,48
PO-1016,Approve,2024-03-27 09:55:48,Manager X,129
PO-1016,Send to Vendor,2024-03-27 11:50:20,System,124
PO-1016,Receive Invoice,2024-03-30 01:52:58,AP Clerk 2,111
PO-1016,Receive Goods,2024-04-03 02:15:00,Warehouse,71
PO-1016,Pay,2024-04-09 14:14:45,AP Clerk 2,155
PO-1017,Create PO,2024-01-08 16:50:40,Buyer B,148
PO-1017,Approve,2024-01-09 16:09:23,Manager Y,89
PO-1017,Send to Vendor,2024-01-09 19:37:23,System,43
PO-1017,Receive Goods,2024-01-15 18:53:48,Warehouse,69
PO-1017,Receive Invoice,2024-01-19 06:37:50,AP Clerk 2,180
PO-1017,Pay,2024-02-01 17:09:25,AP Clerk 2,59
PO-1018,Create PO,2024-03-02 19:11:56,Buyer B,86
PO-1018,Approve,2024-03-03 09:49:18,Manager Y,94
PO-1018,Reject,2024-03-03 20:18:23,Manager Y,200
PO-1018,Revise,2024-03-04 07:24:38,Buyer A,113
PO-1018,Approve,2024-03-04 22:23:12,Manager X,92
PO-1018,Reject,2024-03-05 03:11:20,Manager X,108
PO-1018,Revise,2024-03-05 13:10:56,Buyer A,85
PO-1018,Approve,2024-03-05 18:13:45,Manager Y,92
PO-1018,Send to Vendor,2024-03-06 01:14:20,System,187
PO-1018,Receive Goods,2024-03-14 04:13:15,Warehouse,150
PO-1018,Receive Invoice,2024-03-15 00:36:04,AP Clerk 1,78
PO-1018,Pay,2024-03-28 05:24:54,AP Clerk 1,18
PO-1019,Create PO,2024-01-25 02:55:13,Buyer B,52
PO-1019,Approve,2024-01-25 17:48:54,Manager Y,168
PO-1019,Send to Vendor,2024-01-26 00:52:56,System,50
PO-1019,Receive Goods,2024-01-29 23:25:03,Warehouse,73
PO-1019,Receive Invoice,2024-02-01 00:50:09,AP Clerk 1,190
PO-1019,Pay,2024-02-14 01:33:04,AP Clerk 2,190
PO-1020,Create PO,2024-01-06 16:43:04,Buyer B,88
PO-1020,Approve,2024-01-06 20:36:40,Manager Y,182
PO-1020,Send to Vendor,2024-01-07 01:33:59,System,163
PO-1020,Receive Goods,2024-01-13 20:10:40,Warehouse,154
PO-1020,Receive Invoice,2024-01-16 13:26:41,AP Clerk 2,77
PO-1020,Pay,2024-01-27 11:23:46,AP Clerk 2,37
PO-1021,Create PO,2024-01-30 05:54:38,Buyer C,193
PO-1021,Approve,2024-01-30 16:54:42,Manager Y,155
PO-1021,Reject,2024-01-30 18:37:30,Manager Y,41
PO-1021,Revise,2024-01-31 04:35:28,Buyer A,154
PO-1021,Approve,2024-02-01 02:41:54,Manager X,33
PO-1021,Send to Vendor,2024-02-01 03:46:33,System,43
PO-1021,Receive Goods,2024-02-06 12:21:58,Warehouse,82
PO-1021,Receive Invoice,2024-02-07 07:04:18,AP Clerk 2,126
PO-1021,Pay,2024-02-15 00:00:24,AP Clerk 1,60
PO-1022,Create PO,2024-01-13 01:49:49,Buyer C,18
PO-1022,Approve,2024-01-14 03:05:28,Manager Y,136
PO-1022,Send to Vendor,2024-01-14 10:21:51,System,91
PO-1022,Receive Goods,2024-01-17 12:37:17,Warehouse,57
PO-1022,Receive Invoice,2024-01-20 02:48:48,AP Clerk 1,128
PO-1022,Pay,2024-01-26 12:37:16,AP Clerk 1,179
PO-1023,Create PO,2024-01-21 06:15:35,Buyer C,28
PO-1023,Approve,2024-01-22 03:23:08,Manager Y,86
PO-1023,Reject,2024-01-22 11:09:55,Manager X,40
PO-1023,Revise,2024-01-23 09:03:52,Buyer C,49
PO-1023,Approve,2024-01-24 00:44:55,Manager Y,52
PO-1023,Send to Vendor,2024-01-24 08:09:20,System,196
PO-1023,Receive Goods,2024-02-01 09:44:35,Warehouse,192
PO-1023,Receive Invoice,2024-02-05 01:01:40,AP Clerk 2,47
PO-1023,Pay,2024-02-18 06:33:14,AP Clerk 2,72
PO-1024,Create PO,2024-03-03 10:01:40,Buyer C,35
PO-1024,Send to Vendor,2024-03-03 12:43:25,System,60
PO-1024,Receive Goods,2024-03-08 00:54:01,Warehouse,180
PO-1024,Receive Invoice,2024-03-11 04:47:22,AP Clerk 1,81
PO-1024,Pay,2024-03-17 21:23:17,AP Clerk 2,124
PO-1025,Create PO,2024-02-03 00:24:45,Buyer C,152
PO-1025,Approve,2024-02-03 22:49:34,Manager X,60
PO-1025,Send to Vendor,2024-02-04 04:10:15,System,68
PO-1025,Receive Goods,2024-02-09 13:05:05,Warehouse,178
PO-1025,Receive Invoice,2024-02-12 07:01:29,AP Clerk 1,49
PO-1025,Pay,2024-02-14 17:57:16,AP Clerk 2,72
PO-1026,Create PO,2024-03-08 12:31:27,Buyer A,32
PO-1026,Approve,2024-03-08 14:52:47,Manager X,114
PO-1026,Send to Vendor,2024-03-08 22:30:05,System,30
PO-1026,Cancel,2024-03-11 06:51:24,Buyer A,147
PO-1027,Create PO,2024-04-01 02:27:25,Buyer C,64
PO-1027,Approve,2024-04-01 22:19:51,Manager Y,106
PO-1027,Send to Vendor,2024-04-02 05:06:05,System,75
PO-1027,Receive Goods,2024-04-10 01:40:30,Warehouse,146
PO-1027,Receive Invoice,2024-04-11 00:55:25,AP Clerk 2,146
PO-1027,Pay,2024-04-23 10:16:25,AP Clerk 2,44
PO-1028,Create PO,2024-03-07 04:39:52,Buyer A,65
PO-1028,Approve,2024-03-07 17:32:00,Manager X,55
PO-1028,Reject,2024-03-07 23:00:27,Manager X,101
PO-1028,Revise,2024-03-09 09:58:46,Buyer B,172
PO-1028,Approve,2024-03-09 21:16:53,Manager Y,135
PO-1028,Reject,2024-03-10 06:36:11,Manager X,192
PO-1028,Revise,2024-03-11 01:16:39,Buyer C,76
PO-1028,Approve,2024-03-11 09:45:29,Manager X,80
PO-1028,Send to Vendor,2024-03-11 17:41:15,System,176
PO-1028,Receive Goods,2024-03-16 00:39:19,Warehouse,85
PO-1028,Receive Invoice,2024-03-18 15:36:10,AP Clerk 2,178
PO-1028,Pay,2024-03-21 22:54:43,AP Clerk 2,156
PO-1029,Create PO,2024-02-27 06:26:03,Buyer B,84
PO-1029,Approve,2024-02-28 07:35:49,Manager Y,22
PO-1029,Send to Vendor,2024-02-28 15:16:57,System,105
PO-1029,Receive Goods,2024-03-03 13:12:41,Warehouse,144
PO-1029,Receive Invoice,2024-03-05 10:04:52,AP Clerk 2,191
PO-1029,Pay,2024-03-11 12:32:31,AP Clerk 1,117
PO-1030,Create PO,2024-03-26 14:17:00,Buyer A,47
PO-1030,Approve,2024-03-27 05:19:52,Manager Y,46
PO-1030,Send to Vendor,2024-03-27 11:36:35,System,100
PO-1030,Receive Goods,2024-03-31 22:34:59,Warehouse,132
PO-1030,Receive Invoice,2024-04-03 13:21:19,AP Clerk 1,186
PO-1030,Pay,2024-04-14 06:10:46,AP Clerk 1,126
PO-1031,Create PO,2024-03-15 18:22:23,Buyer C,160
PO-1031,Approve,2024-03-16 01:18:38,Manager Y,194
PO-1031,Reject,2024-03-16 07:05:52,Manager X,148
PO-1031,Revise,2024-03-17 08:35:16,Buyer C,105
PO-1031,Approve,2024-03-17 14:03:04,Manager X,130
PO-1031,Send to Vendor,2024-03-17 19:58:16,System,30
PO-1031,Receive Goods,2024-03-21 23:59:45,Warehouse,78
PO-1031,Receive Invoice,2024-03-24 00:35:13,AP Clerk 1,22
PO-1031,Pay,2024-03-31 21:34:06,AP Clerk 2,67
PO-1032,Create PO,2024-02-06 23:17:44,Buyer A,100
PO-1032,Approve,2024-02-07 05:59:53,Manager X,66
PO-1032,Send to Vendor,2024-02-07 08:12:45,System,48
PO-1032,Receive Goods,2024-02-16 05:53:53,Warehouse,112
PO-1032,Receive Invoice,2024-02-19 13:40:40,AP Clerk 1,108
PO-1032,Pay,2024-03-04 13:16:50,AP Clerk 2,43
PO-1033,Create PO,2024-02-11 23:43:51,Buyer A,59
PO-1033,Approve,2024-02-12 16:27:13,Manager X,137
PO-1033,Send to Vendor,2024-02-12 17:43:28,System,165
PO-1033,Cancel,2024-02-15 13:57:15,Manager X,94
PO-1034,Create PO,2024-03-23 12:29:06,Buyer C,18
PO-1034,Approve,2024-03-23 22:54:22,Manager Y,148
PO-1034,Reject,2024-03-24 07:19:44,Manager Y,27
PO-1034,Revise,2024-03-25 02:56:02,Buyer C,193
PO-1034,Approve,2024-03-25 08:03:07,Manager X,109
PO-1034,Reject,2024-03-25 17:01:34,Manager X,150
PO-1034,Revise,2024-03-25 23:52:24,Buyer C,50
PO-1034,Approve,2024-03-26 17:07:49,Manager X,51
PO-1034,Send to Vendor,2024-03-27 00:47:32,System,74
PO-1034,Receive Goods,2024-04-04 04:36:52,Warehouse,99
PO-1034,Receive Invoice,2024-04-06 03:08:21,AP Clerk 2,53
PO-1034,Pay,2024-04-14 07:33:00,AP Clerk 1,119
PO-1035,Create PO,2024-02-25 13:46:35,Buyer C,89
PO-1035,Approve,2024-02-26 02:44:14,Manager X,18
PO-1035,Send to Vendor,2024-02-26 08:05:31,System,101
PO-1035,Receive Goods,2024-02-29 17:52:53,Warehouse,141
PO-1035,Receive Invoice,2024-03-01 19:29:57,AP Clerk 1,76
PO-1035,Pay,2024-03-16 08:54:35,AP Clerk 2,84
PO-1036,Create PO,2024-01-24 16:30:19,Buyer B,126
PO-1036,Approve,2024-01-25 09:12:47,Manager Y,57
PO-1036,Send to Vendor,2024-01-25 12:38:45,System,88
PO-1036,Receive Goods,2024-01-30 07:37:06,Warehouse,120
PO-1036,Receive Invoice,2024-01-31 14:23:12,AP Clerk 2,188
PO-1036,Pay,2024-02-04 02:52:15,AP Clerk 2,26
PO-1037,Create PO,2024-03-06 15:22:02,Buyer C,84
PO-1037,Approve,2024-03-07 02:13:00,Manager X,32
PO-1037,Send to Vendor,2024-03-07 07:45:57,System,111
PO-1037,Receive Goods,2024-03-16 07:30:49,Warehouse,163
PO-1037,Receive Invoice,2024-03-18 08:32:42,AP Clerk 2,144
PO-1037,Pay,2024-03-30 23:27:44,AP Clerk 2,25
PO-1038,Create PO,2024-03-13 23:08:06,Buyer C,155
PO-1038,Send to Vendor,2024-03-14 03:59:05,System,18
PO-1038,Receive Goods,2024-03-21 04:38:37,Warehouse,55
PO-1038,Receive Invoice,2024-03-23 14:08:35,AP Clerk 2,49
PO-1038,Pay,2024-03-28 14:22:17,AP Clerk 1,155
PO-1039,Create PO,2024-01-15 16:01:22,Buyer C,161
PO-1039,Approve,2024-01-16 08:35:39,Manager Y,165
PO-1039,Send to Vendor,2024-01-16 13:09:29,System,145
PO-1039,Receive Goods,2024-01-21 18:49:30,Warehouse,100
PO-1039,Receive Invoice,2024-01-25 01:01:48,AP Clerk 1,186
PO-1039,Pay,2024-01-31 11:34:28,AP Clerk 2,37
PO-1040,Create PO,2024-03-28 17:15:17,Buyer C,165
PO-1040,Approve,2024-03-28 19:19:23,Manager Y,85
PO-1040,Reject,2024-03-28 21:20:54,Manager X,140
PO-1040,Revise,2024-03-29 02:50:49,Buyer C,186
PO-1040,Approve,2024-03-29 20:24:19,Manager X,149
PO-1040,Send to Vendor,2024-03-30 01:58:11,System,160
PO-1040,Receive Goods,2024-04-08 02:43:40,Warehouse,93
PO-1040,Receive Invoice,2024-04-10 23:42:18,AP Clerk 1,151
PO-1040,Pay,2024-04-12 16:02:35,AP Clerk 2,79
PO-1041,Create PO,2024-02-22 20:21:42,Buyer A,177
PO-1041,Approve,2024-02-23 09:42:09,Manager Y,97
PO-1041,Reject,2024-02-23 12:43:44,Manager Y,175
PO-1041,Revise,2024-02-25 11:02:15,Buyer B,153
PO-1041,Approve,2024-02-25 20:56:57,Manager Y,84
PO-1041,Send to Vendor,2024-02-26 00:54:11,System,116
PO-1041,Receive Goods,2024-03-02 22:25:22,Warehouse,84
PO-1041,Receive Invoice,2024-03-06 10:06:46,AP Clerk 2,135
PO-1041,Pay,2024-03-13 21:25:43,AP Clerk 2,68
PO-1042,Create PO,2024-03-10 19:51:24,Buyer A,39
PO-1042,Approve,2024-03-11 23:46:45,Manager X,118
PO-1042,Send to Vendor,2024-03-12 01:27:19,System,132
PO-1042,Receive Goods,2024-03-15 12:46:23,Warehouse,172
PO-1042,Receive Invoice,2024-03-16 11:13:28,AP Clerk 1,195
PO-1042,Pay,2024-03-30 11:41:20,AP Clerk 1,169
PO-1043,Create PO,2024-03-23 21:11:32,Buyer A,181
PO-1043,Approve,2024-03-24 11:07:40,Manager X,69
PO-1043,Send to Vendor,2024-03-24 18:01:43,System,187
PO-1043,Receive Goods,2024-04-01 18:26:22,Warehouse,70
PO-1043,Receive Invoice,2024-04-04 18:35:48,AP Clerk 2,190
PO-1043,Pay,2024-04-08 17:08:28,AP Clerk 1,87
PO-1044,Create PO,2024-03-30 17:19:19,Buyer B,17
PO-1044,Approve,2024-03-31 19:01:11,Manager Y,103
PO-1044,Reject,2024-04-01 04:09:22,Manager X,148
PO-1044,Revise,2024-04-02 13:13:06,Buyer A,82
PO-1044,Approve,2024-04-02 23:40:44,Manager X,172
PO-1044,Send to Vendor,2024-04-03 01:49:21,System,167
PO-1044,Receive Goods,2024-04-07 07:57:58,Warehouse,180
PO-1044,Receive Invoice,2024-04-11 04:25:53,AP Clerk 1,200
PO-1044,Pay,2024-04-14 15:38:50,AP Clerk 2,134
PO-1045,Create PO,2024-03-22 17:38:09,Buyer C,111
PO-1045,Approve,2024-03-23 07:38:18,Manager Y,197
PO-1045,Send to Vendor,2024-03-23 11:47:47,System,171
PO-1045,Cancel,2024-03-26 17:18:41,Manager X,24
PO-1046,Create PO,2024-01-14 22:12:20,Buyer C,114
PO-1046,Approve,2024-01-15 07:30:30,Manager X,143
PO-1046,Send to Vendor,2024-01-15 08:56:32,System,102
PO-1046,Receive Invoice,2024-01-17 08:58:48,AP Clerk 2,88
PO-1046,Receive Goods,2024-01-20 10:44:06,Warehouse,56
PO-1046,Pay,2024-01-23 02:11:11,AP Clerk 2,133
PO-1047,Create PO,2024-02-05 09:42:28,Buyer B,97
PO-1047,Approve,2024-02-06 14:22:20,Manager Y,192
PO-1047,Send to Vendor,2024-02-06 17:39:28,System,106
PO-1047,Receive Goods,2024-02-11 05:00:16,Warehouse,88
PO-1047,Receive Invoice,2024-02-14 04:07:05,AP Clerk 1,110
PO-1047,Pay,2024-02-22 08:17:37,AP Clerk 1,146
PO-1048,Create PO,2024-01-24 10:34:01,Buyer B,30
PO-1048,Send to Vendor,2024-01-24 12:42:53,System,185
PO-1048,Receive Goods,2024-01-28 19:31:10,Warehouse,69
PO-1048,Receive Invoice,2024-01-31 05:22:09,AP Clerk 1,167
PO-1048,Pay,2024-02-04 15:04:42,AP Clerk 1,135
PO-1049,Create PO,2024-03-26 00:46:57,Buyer A,93
PO-1049,Approve,2024-03-26 12:36:01,Manager X,135
PO-1049,Send to Vendor,2024-03-26 15:05:29,System,154
PO-1049,Cancel,2024-03-31 03:40:40,Buyer A,59
PO-1050,Create PO,2024-02-27 10:03:40,Buyer C,134
PO-1050,Approve,2024-02-28 13:08:46,Manager Y,121
PO-1050,Reject,2024-02-28 16:52:13,Manager X,65
PO-1050,Revise,2024-02-29 13:42:07,Buyer A,175
PO-1050,Approve,2024-03-01 10:56:16,Manager Y,137
PO-1050,Reject,2024-03-01 18:47:10,Manager X,147
PO-1050,Revise,2024-03-02 15:52:41,Buyer C,70
PO-1050,Approve,2024-03-02 21:55:32,Manager X,129
PO-1050,Send to Vendor,2024-03-02 23:46:47,System,29
PO-1050,Receive Goods,2024-03-08 07:54:46,Warehouse,19
PO-1050,Receive Invoice,2024-03-11 08:13:43,AP Clerk 2,147
PO-1050,Pay,2024-03-16 09:34:35,AP Clerk 1,126
PO-1051,Create PO,2024-01-18 00:45:54,Buyer C,144
PO-1051,Approve,2024-01-18 06:53:52,Manager X,138
PO-1051,Send to Vendor,2024-01-18 08:34:11,System,37
PO-1051,Receive Goods,2024-01-26 06:36:21,Warehouse,175
PO-1051,Receive Invoice,2024-01-30 05:58:04,AP Clerk 2,37
PO-1051,Pay,2024-02-08 17:21:42,AP Clerk 1,60
PO-1052,Create PO,2024-01-22 05:07:38,Buyer C,166
PO-1052,Approve,2024-01-23 09:37:06,Manager Y,138
PO-1052,Send to Vendor,2024-01-23 15:51:25,System,79
PO-1052,Receive Goods,2024-01-30 04:41:02,Warehouse,31
PO-1052,Receive Invoice,2024-02-02 19:31:16,AP Clerk 1,193
PO-1052,Pay,2024-02-16 02:05:59,AP Clerk 2,63
PO-1053,Create PO,2024-02-15 12:47:02,Buyer A,91
PO-1053,Approve,2024-02-15 18:47:50,Manager X,20
PO-1053,Send to Vendor,2024-02-16 01:37:02,System,139
PO-1053,Receive Goods,2024-02-22 03:41:25,Warehouse,20
PO-1053,Receive Invoice,2024-02-25 15:02:15,AP Clerk 1,172
PO-1053,Pay,2024-03-01 21:07:36,AP Clerk 2,73
PO-1054,Create PO,2024-03-05 15:34:59,Buyer A,16
PO-1054,Approve,2024-03-06 01:35:29,Manager Y,71
PO-1054,Reject,2024-03-06 11:12:46,Manager Y,166
PO-1054,Revise,2024-03-07 03:55:16,Buyer B,168
PO-1054,Approve,2024-03-07 22:53:09,Manager Y,46
PO-1054,Send to Vendor,2024-03-08 04:12:10,System,113
PO-1054,Receive Goods,2024-03-17 08:08:01,Warehouse,160
PO-1054,Receive Invoice,2024-03-21 07:48:55,AP Clerk 1,127
PO-1054,Pay,2024-03-22 14:51:53,AP Clerk 1,106
PO-1055,Create PO,2024-01-03 19:32:24,Buyer A,46
PO-1055,Approve,2024-01-05 00:50:14,Manager Y,161
PO-1055,Reject,2024-01-05 06:03:24,Manager X,184
PO-1055,Revise,2024-01-06 11:28:30,Buyer A,102
PO-1055,Approve,2024-01-07 07:39:58,Manager X,99
PO-1055,Send to Vendor,2024-01-07 08:51:28,System,165
PO-1055,Receive Goods,2024-01-13 17:26:55,Warehouse,131
PO-1055,Receive Invoice,2024-01-14 17:22:14,AP Clerk 2,164
PO-1055,Pay,2024-01-29 16:25:07,AP Clerk 2,147
PO-1056,Create PO,2024-01-26 13:48:34,Buyer C,60
PO-1056,Approve,2024-01-26 15:59:23,Manager X,119
PO-1056,Send to Vendor,2024-01-26 20:39:52,System,99
PO-1056,Receive Goods,2024-01-30 11:45:04,Warehouse,82
PO-1056,Receive Invoice,2024-01-31 14:11:55,AP Clerk 1,190
PO-1056,Pay,2024-02-02 22:40:13,AP Clerk 2,138
PO-1057,Create PO,2024-01-13 11:40:09,Buyer B,68
PO-1057,Approve,2024-01-14 01:31:07,Manager X,135
PO-1057,Reject,2024-01-14 11:17:10,Manager X,67
PO-1057,Revise,2024-01-14 15:17:41,Buyer A,86
PO-1057,Approve,2024-01-14 19:29:24,Manager X,68
PO-1057,Reject,2024-01-15 00:46:24,Manager Y,63
PO-1057,Revise,2024-01-15 06:46:43,Buyer B,157
PO-1057,Approve,2024-01-16 05:20:54,Manager X,131
PO-1057,Send to Vendor,2024-01-16 12:19:35,System,45
PO-1057,Receive Goods,2024-01-25 07:15:58,Warehouse,59
PO-1057,Receive Invoice,2024-01-28 15:21:43,AP Clerk 1,144
PO-1057,Pay,2024-02-03 07:51:09,AP Clerk 1,139
PO-1058,Create PO,2024-02-12 13:13:06,Buyer B,158
PO-1058,Approve,2024-02-13 08:25:57,Manager Y,167
PO-1058,Send to Vendor,2024-02-13 15:38:36,System,192
PO-1058,Receive Invoice,2024-02-15 22:24:28,AP Clerk 2,196
PO-1058,Receive Goods,2024-02-20 16:30:48,Warehouse,46
PO-1058,Pay,2024-02-25 08:45:38,AP Clerk 2,44
PO-1059,Create PO,2024-02-03 06:35:51,Buyer A,59
PO-1059,Approve,2024-02-03 11:04:46,Manager Y,25
PO-1059,Send to Vendor,2024-02-03 15:47:22,System,101
PO-1059,Receive Invoice,2024-02-08 00:57:46,AP Clerk 1,127
PO-1059,Receive Goods,2024-02-09 22:16:55,Warehouse,28
PO-1059,Pay,2024-02-17 02:16:42,AP Clerk 1,143
PO-1060,Create PO,2024-03-31 20:21:59,Buyer A,113
PO-1060,Approve,2024-04-02 00:55:15,Manager Y,68
PO-1060,Reject,2024-04-02 10:14:22,Manager X,91
PO-1060,Revise,2024-04-04 04:01:05,Buyer A,141
PO-1060,Approve,2024-04-04 08:48:58,Manager X,16
PO-1060,Send to Vendor,2024-04-04 14:37:46,System,114
PO-1060,Receive Goods,2024-04-11 15:41:08,Warehouse,85
PO-1060,Receive Invoice,2024-04-14 11:36:41,AP Clerk 1,186
PO-1060,Pay,2024-04-15 12:37:40,AP Clerk 1,85
PO-1061,Create PO,2024-02-10 20:07:38,Buyer B,196
PO-1061,Approve,2024-02-11 19:07:13,Manager X,75
PO-1061,Send to Vendor,2024-02-11 21:20:22,System,92
PO-1061,Receive Goods,2024-02-18 02:18:56,Warehouse,136
PO-1061,Receive Invoice,2024-02-20 00:54:11,AP Clerk 1,21
PO-1061,Pay,2024-02-28 01:43:59,AP Clerk 2,118
PO-1062,Create PO,2024-02-12 20:46:52,Buyer B,122
PO-1062,Approve,2024-02-13 09:48:23,Manager X,112
PO-1062,Reject,2024-02-13 14:14:21,Manager X,17
PO-1062,Revise,2024-02-14 20:11:00,Buyer C,70
PO-1062,Approve,2024-02-15 09:51:32,Manager Y,91
PO-1062,Send to Vendor,2024-02-15 14:03:46,System,66
PO-1062,Receive Goods,2024-02-23 01:50:03,Warehouse,112
PO-1062,Receive Invoice,2024-02-23 20:39:11,AP Clerk 1,81
PO-1062,Pay,2024-02-29 08:43:46,AP Clerk 1,44
PO-1063,Create PO,2024-01-04 13:34:23,Buyer A,116
PO-1063,Approve,2024-01-05 05:21:58,Manager Y,107
PO-1063,Send to Vendor,2024-01-05 10:06:19,System,65
