SampleIndex,Amplitude,RPM
89,0.06232,616.69
90,-0.28248,616.88
91,-0.02783,617.06
92,-0.32477,617.25
93,-0.33800,617.44
94,-0.52325,617.63
95,-0.34885,617.81
96,-0.69302,618.00
97,-0.38789,618.19
98,-0.34902,618.38
99,-0.39603,618.56
100,-0.27566,618.75
101,-0.34347,618.94
102,0.04287,619.13
103,-0.31637,619.31
104,-0.22581,619.50
105,-0.42792,619.69
106,0.01785,619.88
107,-0.30272,620.06
108,-0.10934,620.25
109,-0.28275,620.44
110,-0.12777,620.63
111,-0.24661,620.81
112,-0.45056,621.00
113,-0.45225,621.19
114,-0.42768,621.38
115,-0.64485,621.56
116,-0.64998,621.75
117,-0.67899,621.94
118,-0.77316,622.13
119,-1.00285,622.31
120,-0.94995,622.50
121,-0.91271,622.69
122,-1.25204,622.88
123,-1.26461,623.06
124,-1.23885,623.25
125,-1.34796,623.44
126,-1.28008,623.63
127,-1.71517,623.81
128,-1.60292,624.00
129,-1.35384,624.19
130,-1.01502,624.38
131,-0.89908,624.56
132,-0.95028,624.75
133,-1.11889,624.94
134,-0.65507,625.13
135,-0.77756,625.31
136,-0.61955,625.50
137,-0.42962,625.69
138,-0.20006,625.88
139,-0.12657,626.06
140,-0.08327,626.25
141,-0.28658,626.44
142,0.24206,626.63
143,0.13616,626.81
144,0.15181,627.00
145,0.17034,627.19
146,-0.05688,627.38
147,0.03025,627.56
148,0.02144,627.75
149,0.02567,627.94
150,-0.41813,628.13
151,-0.10055,628.31
152,-0.11921,628.50
153,-0.44879,628.69
154,-0.65068,628.88
155,-0.62713,629.06
156,-0.68099,629.25
157,-0.83061,629.44
158,-1.25970,629.63
159,-1.38401,629.81
160,-1.27927,630.00
161,-1.26169,630.19
162,-1.42527,630.38
163,-1.84415,630.56
164,-1.72616,630.75
165,-1.64677,630.94
166,-1.43268,631.13
167,-1.58514,631.31
168,-1.44323,631.50
169,-1.33799,631.69
170,-1.33210,631.88
171,-1.01507,632.06
172,-1.10975,632.25
173,-0.80513,632.44
174,-0.81318,632.63
175,-0.35916,632.81
176,-0.52302,633.00
177,-0.34022,633.19
178,-0.18405,633.38
179,-0.35382,633.56
180,-0.10151,633.75
181,0.03980,633.94
182,-0.24802,634.13
183,-0.07646,634.31
184,-0.13535,634.50
185,-0.24008,634.69
186,-0.16246,634.88
187,-0.34624,635.06
188,-0.32072,635.25
189,-0.52632,635.44
190,-0.38613,635.63
191,-0.51522,635.81
192,-0.44141,636.00
193,-0.13657,636.19
194,-0.33898,636.38
195,-0.48432,636.56
196,0.05865,636.75
197,-0.52422,636.94
198,-0.10522,637.13
199,-0.17868,637.31
200,0.05283,637.50
201,0.21009,637.69
202,0.51701,637.88
203,0.46586,638.06
204,0.54571,638.25
205,0.74226,638.44
206,0.84321,638.63
207,1.25434,638.81
208,1.24296,639.00
209,1.28527,639.19
210,1.09161,639.38
211,1.47644,639.56
212,1.24551,639.75
213,1.85412,639.94
214,1.58065,640.13
215,1.50294,640.31
216,1.65206,640.50
217,1.58686,640.69
218,1.41572,640.88
219,1.30983,641.06
220,1.05892,641.25
221,0.94804,641.44
222,1.00761,641.63
223,0.57986,641.81
224,0.34504,642.00
225,0.36512,642.19
226,0.39722,642.38
227,0.00068,642.56
228,-0.17312,642.75
229,-0.26194,642.94
230,-0.20009,643.13
231,-0.10635,643.31
232,0.03800,643.50
233,-0.35185,643.69
234,-0.17672,643.88
235,0.15494,644.06
236,0.07946,644.25
237,0.32783,644.44
238,0.23953,644.63
239,-0.03520,644.81
240,0.29638,645.00
241,0.71650,645.19
242,0.42479,645.38
243,0.70088,645.56
244,1.06214,645.75
245,0.90519,645.94
246,1.19820,646.13
247,1.34407,646.31
248,1.44756,646.50
249,1.10009,646.69
250,1.24972,646.88
251,1.47758,647.06
252,1.00536,647.25
253,1.23603,647.44
254,1.02218,647.63
255,0.85972,647.81
256,0.75222,648.00
257,0.89808,648.19
258,0.63384,648.38
259,0.89059,648.56
260,0.64354,648.75
261,0.40369,648.94
262,0.49994,649.13
263,0.39564,649.31
264,0.54417,649.50
265,0.52435,649.69
266,0.51856,649.88
267,0.42946,650.06
268,0.65889,650.25
269,0.81813,650.44
270,0.68136,650.63
271,0.80957,650.81
272,0.73995,651.00
273,0.80217,651.19
274,1.01124,651.38
275,0.86556,651.56
276,1.15609,651.75
277,1.15730,651.94
278,1.10456,652.13
279,1.31928,652.31
280,0.68118,652.50
281,0.99458,652.69
282,0.99958,652.88
283,0.50569,653.06
284,0.64307,653.25
285,0.57157,653.44
286,0.36893,653.63
287,0.31168,653.81
288,0.27234,654.00
289,-0.49495,654.19
290,-0.31813,654.38
291,-0.73924,654.56
292,-0.71488,654.75
293,-0.99730,654.94
294,-0.66081,655.13
295,-1.13093,655.31
296,-1.26982,655.50
297,-1.38302,655.69
298,-1.34751,655.88
299,-1.48130,656.06
300,-1.48065,656.25
301,-1.57838,656.44
302,-1.30486,656.63
303,-1.45117,656.81
304,-1.29181,657.00
305,-1.09233,657.19
306,-0.87245,657.38
307,-0.82470,657.56
308,-0.74584,657.75
309,-0.70777,657.94
310,-0.45926,658.13
311,-0.57409,658.31
312,-0.41957,658.50
313,-0.25413,658.69
314,-0.20119,658.88
315,-0.21938,659.06
316,-0.00093,659.25
317,-0.27476,659.44
318,-0.18045,659.63
319,-0.24575,659.81
320,-0.15657,660.00
321,-0.47964,660.19
322,-0.62729,660.38
323,-0.55846,660.56
324,-0.73066,660.75
325,-0.69467,660.94
326,-0.69865,661.13
327,-0.89728,661.31
328,-0.98538,661.50
329,-0.96375,661.69
330,-1.04751,661.88
331,-1.05159,662.06
332,-1.11981,662.25
333,-0.86227,662.44
334,-0.96450,662.63
335,-1.07006,662.81
336,-0.80640,663.00
337,-0.92699,663.19
338,-0.68420,663.38
339,-0.39642,663.56
340,-0.54224,663.75
341,-0.53777,663.94
342,-0.46700,664.13
343,-0.27047,664.31
344,-0.44027,664.50
345,-0.60396,664.69
346,-0.15802,664.88
347,-0.39393,665.06
348,-0.41488,665.25
349,-0.52836,665.44
350,-0.64672,665.63
351,-0.66339,665.81
352,-0.93895,666.00
353,-0.97478,666.19
354,-1.16234,666.38
355,-1.16035,666.56
356,-1.28444,666.75
357,-1.38783,666.94
358,-1.31009,667.13
359,-1.35422,667.31
360,-1.32803,667.50
361,-1.51307,667.69
362,-1.62608,667.88
363,-1.25763,668.06
364,-1.26951,668.25
365,-1.20469,668.44
366,-1.41415,668.63
367,-1.34240,668.81
368,-1.06342,669.00
369,-0.99384,669.19
370,-0.77620,669.38
371,-0.97837,669.56
372,-0.37198,669.75
373,-0.04306,669.94
374,0.07032,670.13
375,0.10636,670.31
376,0.46128,670.50
377,0.39796,670.69
378,0.91719,670.88
379,0.83592,671.06
380,1.09893,671.25
381,0.93714,671.44
382,1.00037,671.63
383,1.07257,671.81
384,0.94177,672.00
385,1.16298,672.19
386,0.84062,672.38
387,0.70136,672.56
388,0.58627,672.75
389,0.54821,672.94
390,0.41201,673.13
391,0.45817,673.31
392,0.32041,673.50
393,0.56791,673.69
394,0.34803,673.88
395,0.53194,674.06
396,0.29777,674.25
397,0.46093,674.44
398,0.35277,674.63
399,0.56839,674.81
400,0.44400,675.00
401,0.29955,675.19
402,0.54875,675.38
403,0.52506,675.56
404,0.69063,675.75
405,0.85390,675.94
406,0.86459,676.13
407,0.90500,676.31
408,1.05558,676.50
409,0.70359,676.69
410,0.99694,676.88
411,0.89077,677.06
412,1.02956,677.25
413,1.17371,677.44
414,1.06214,677.63
415,0.75229,677.81
416,0.68021,678.00
417,0.95259,678.19
418,0.69054,678.38
419,0.47660,678.56
420,0.48637,678.75
421,0.45776,678.94
422,0.11757,679.13
423,0.02136,679.31
424,0.15254,679.50
425,0.04104,679.69
426,0.24092,679.88
427,-0.18599,680.06
428,0.09328,680.25
429,0.00992,680.44
430,0.36557,680.63
431,0.19851,680.81
432,0.11096,681.00
433,0.37213,681.19
434,0.59179,681.38
435,0.76604,681.56
436,0.89375,681.75
437,1.18001,681.94
438,0.86532,682.13
439,1.07089,682.31
440,1.58990,682.50
441,1.46619,682.69
442,1.50670,682.88
443,1.44621,683.06
444,1.50199,683.25
445,1.80710,683.44
446,1.50662,683.63
447,1.38952,683.81
448,1.74248,684.00
449,1.24011,684.19
450,1.14923,684.38
451,1.22627,684.56
452,0.59037,684.75
453,0.90512,684.94
454,0.44482,685.13
455,0.58347,685.31
456,0.49349,685.50
457,-0.15734,685.69
458,-0.28725,685.88
459,-0.22404,686.06
460,-0.14099,686.25
461,-0.30568,686.44
462,-0.27601,686.63
463,-0.32467,686.81
464,-0.48686,687.00
465,-0.58410,687.19
466,-0.43846,687.38
467,-0.22111,687.56
468,-0.50648,687.75
469,-0.22285,687.94
470,-0.52137,688.13
471,-0.16268,688.31
472,-0.37321,688.50
473,-0.23651,688.69
474,-0.39422,688.88
475,-0.22204,689.06
476,-0.16786,689.25
477,-0.43974,689.44
478,-0.52706,689.63
479,-0.30411,689.81
480,-0.51862,690.00
481,-0.52912,690.19
482,-0.65136,690.38
483,-1.05126,690.56
484,-0.91902,690.75
485,-0.83005,690.94
486,-1.05135,691.13
487,-1.37587,691.31
488,-1.33761,691.50
489,-1.25399,691.69
490,-1.27725,691.88
491,-1.35551,692.06
492,-1.26017,692.25
493,-1.35668,692.44
494,-1.13184,692.63
495,-1.01426,692.81
496,-1.06634,693.00
497,-1.18533,693.19
498,-0.93887,693.38
499,-0.92069,693.56
500,-0.30114,693.75
501,-0.47042,693.94
502,-0.00857,694.13
503,0.22898,694.31
504,0.05886,694.50
505,0.25063,694.69
506,0.30047,694.88
507,0.48512,695.06
508,0.33792,695.25
509,0.44464,695.44
510,0.21294,695.63
511,-0.03094,695.81
512,0.00204,696.00
513,-0.24332,696.19
514,-0.59118,696.38
515,-0.70420,696.56
516,-0.59537,696.75
517,-0.66804,696.94
518,-1.00296,697.13
519,-0.94770,697.31
520,-1.13944,697.50
521,-1.36589,697.69
522,-1.51828,697.88
523,-1.31036,698.06
524,-1.54547,698.25
525,-1.60368,698.44
526,-1.63770,698.63
527,-1.59715,698.81
528,-1.41233,699.00
529,-1.10286,699.19
530,-1.17558,699.38
531,-1.27854,699.56
532,-0.86461,699.75
533,-0.84649,699.94
534,-0.67391,700.13
535,-0.53623,700.31
536,-0.46118,700.50
537,-0.39361,700.69
538,-0.34622,700.88
539,-0.23155,701.06
540,-0.34191,701.25
541,-0.01874,701.44
542,-0.22118,701.63
543,-0.21406,701.81
544,-0.31218,702.00
545,-0.25086,702.19
546,-0.25902,702.38
547,-0.54865,702.56
548,-0.39855,702.75
549,-0.60559,702.94
550,-0.45267,703.13
551,-0.22911,703.31
552,-0.33440,703.50
553,-0.29823,703.69
554,-0.27560,703.88
555,-0.05632,704.06
556,-0.21689,704.25
557,0.11049,704.44
558,0.14358,704.63
559,0.08792,704.81
560,0.36878,705.00
561,0.65807,705.19
562,0.84364,705.38
563,0.71111,705.56
564,0.96827,705.75
565,1.16103,705.94
566,1.41221,706.13
567,1.38620,706.31
568,1.43522,706.50
569,1.38790,706.69
570,1.59297,706.88
571,1.75335,707.06
572,1.56778,707.25
573,1.13788,707.44
574,1.19367,707.63
575,1.08362,707.81
576,0.97234,708.00
577,0.76037,708.19
578,0.70810,708.38
579,0.52107,708.56
580,0.28737,708.75
581,0.26502,708.94
582,-0.00328,709.13
583,0.16421,709.31
584,-0.11866,709.50
585,-0.09711,709.69
586,-0.22273,709.88
587,-0.18556,710.06
588,-0.10907,710.25
589,0.02941,710.44
590,0.39064,710.63
591,0.08890,710.81
592,0.48490,711.00
593,0.36528,711.19
594,0.73165,711.38
595,0.75836,711.56
596,0.88046,711.75
597,0.87259,711.94
598,1.06441,712.13
599,1.26398,712.31
600,1.03929,712.50
601,1.08631,712.69
602,1.24438,712.88
603,1.13258,713.06
604,1.19774,713.25
605,1.10464,713.44
606,0.84935,713.63
607,1.05469,713.81
608,0.81017,714.00
609,0.90027,714.19
610,0.47935,714.38
611,0.74114,714.56
612,0.40279,714.75
613,0.46463,714.94
614,0.81271,715.13
615,0.47327,715.31
616,0.44629,715.50
617,0.56314,715.69
618,0.53450,715.88
619,0.27953,716.06
620,0.38536,716.25
621,1.05236,716.44
622,0.61423,716.63
623,1.21545,716.81
624,0.86499,717.00
625,0.84793,717.19
626,0.95836,717.38
627,1.14026,717.56
628,1.14538,717.75
629,0.81716,717.94
630,1.03341,718.13
631,1.06683,718.31
632,0.95253,718.50
633,0.83915,718.69
634,0.55993,718.88
635,0.45746,719.06
636,0.26347,719.25
637,-0.02452,719.44
638,-0.23494,719.63
639,-0.57060,719.81
640,-0.59798,720.00
641,-1.08078,720.19
642,-0.72523,720.38
643,-1.23931,720.56
644,-1.08674,720.75
645,-1.68222,720.94
646,-1.22934,721.13
647,-1.45328,721.31
648,-1.34519,721.50
649,-1.18847,721.69
650,-1.50294,721.88
651,-1.31061,722.06
652,-1.07834,722.25
653,-1.01983,722.44
654,-0.89000,722.63
655,-0.70227,722.81
656,-0.70446,723.00
657,-0.52448,723.19
658,-0.55422,723.38
659,-0.15724,723.56
660,-0.26362,723.75
661,-0.37866,723.94
662,-0.16336,724.13
663,0.20716,724.31
664,-0.18522,724.50
665,-0.16070,724.69
666,-0.01453,724.88
667,0.03160,725.06
668,-0.37849,725.25
669,-0.40373,725.44
670,-0.79126,725.63
671,-0.71851,725.81
672,-0.95516,726.00
673,-0.97902,726.19
674,-0.85651,726.38
675,-0.99195,726.56
676,-1.14691,726.75
677,-0.94556,726.94
678,-1.17171,727.13
679,-0.88350,727.31
680,-0.89966,727.50
681,-0.74441,727.69
682,-0.88406,727.88
683,-0.87155,728.06
684,-1.06665,728.25
685,-0.55183,728.44
686,-0.38058,728.63
687,-0.40711,728.81
688,-0.25115,729.00
689,-0.18365,729.19
690,-0.02374,729.38
691,-0.35809,729.56
692,-0.04734,729.75
693,-0.47621,729.94
694,-0.56031,730.13
695,-0.50429,730.31
696,-0.91218,730.50
697,-0.75130,730.69
698,-0.91084,730.88
699,-1.08352,731.06
700,-1.06217,731.25
701,-0.99540,731.44
702,-1.34714,731.63
703,-1.63046,731.81
704,-1.66082,732.00
705,-1.23282,732.19
706,-1.61753,732.38
707,-1.26012,732.56
708,-1.28216,732.75
709,-1.16541,732.94
710,-1.22122,733.13
711,-0.92714,733.31
712,-0.51700,733.50
713,-0.44598,733.69
714,-0.06129,733.88
715,-0.28637,734.06
716,0.13373,734.25
717,0.03755,734.44
718,0.61054,734.63
719,0.61975,734.81
720,0.84368,735.00
721,0.91310,735.19
722,0.80097,735.38
723,0.72839,735.56
724,1.02687,735.75
725,1.10164,735.94
726,1.08131,736.13
727,0.91679,736.31
728,0.84627,736.50
729,1.12294,736.69
730,0.73295,736.88
731,0.52817,737.06
732,0.43865,737.25
733,0.36604,737.44
734,0.36808,737.63
735,0.32177,737.81
736,0.20226,738.00
737,0.42171,738.19
738,0.56037,738.38
739,0.45668,738.56
740,0.49055,738.75
741,0.57876,738.94
742,0.76216,739.13
743,0.75241,739.31
744,0.78996,739.50
745,0.80284,739.69
746,0.78252,739.88
747,1.02409,740.06
748,1.07799,740.25
749,0.92319,740.44
750,1.19534,740.63
751,0.95369,740.81
752,1.11670,741.00
753,0.95257,741.19
754,0.63651,741.38
755,0.90422,741.56
756,0.75843,741.75
757,0.49713,741.94
758,0.76478,742.13
759,0.31067,742.31
760,0.26221,742.50
761,-0.01865,742.69
762,-0.00383,742.88
763,0.06562,743.06
764,-0.04631,743.25
765,-0.03411,743.44
766,0.19769,743.63
767,0.07339,743.81
768,-0.15857,744.00
769,0.40281,744.19
770,0.47696,744.38
771,0.53746,744.56
772,1.09074,744.75
773,0.83577,744.94
774,0.93793,745.13
775,1.14249,745.31
776,1.71214,745.50
777,1.67160,745.69
778,1.87001,745.88
779,1.51610,746.06
780,1.59227,746.25
781,1.71933,746.44
782,1.71076,746.63
783,1.81089,746.81
784,1.69518,747.00
785,1.22094,747.19
786,1.39313,747.38
787,1.40617,747.56
788,0.85669,747.75
789,0.29625,747.94
790,0.56220,748.13
791,-0.06496,748.31
792,0.13006,748.50
793,-0.28842,748.69
794,-0.27407,748.88
795,-0.51848,749.06
796,-0.22589,749.25
797,-0.54188,749.44
798,-0.43070,749.63
799,-0.28781,749.81
800,-0.59932,750.00
801,-0.64616,750.19
802,-0.27306,750.38
803,-0.35047,750.56
804,-0.17719,750.75
805,-0.23281,750.94
806,0.01992,751.13
807,-0.31806,751.31
808,0.00955,751.50
809,-0.18855,751.69
810,-0.38889,751.88
811,-0.14430,752.06
812,-0.40303,752.25
813,-0.59803,752.44
814,-0.57256,752.63
815,-0.69535,752.81
816,-0.63782,753.00
817,-0.92883,753.19
818,-0.92139,753.38
819,-1.09756,753.56
820,-1.17211,753.75
821,-1.60253,753.94
822,-1.21276,754.13
823,-1.28184,754.31
824,-1.38527,754.50
825,-1.04730,754.69
826,-1.21896,754.88
827,-1.21124,755.06
828,-0.90425,755.25
829,-0.78789,755.44
830,-0.89579,755.63
831,-0.55767,755.81
832,-0.18141,756.00
833,-0.16421,756.19
834,0.17984,756.38
835,0.18649,756.56
836,0.25714,756.75
837,-0.06490,756.94
838,0.41476,757.13
839,0.60058,757.31
840,-0.19698,757.50
841,0.01685,757.69
842,-0.16758,757.88
843,-0.25699,758.06
844,-0.37885,758.25
845,-0.68651,758.44
846,-0.62076,758.63
847,-0.76151,758.81
848,-1.26927,759.00
849,-0.88439,759.19
850,-1.15520,759.38
851,-1.34671,759.56
852,-1.69446,759.75
853,-1.38158,759.94
854,-1.38708,760.13
855,-1.29745,760.31
856,-1.51508,760.50
857,-1.39048,760.69
858,-1.29090,760.88
859,-1.23027,761.06
860,-1.26190,761.25
861,-1.05165,761.44
862,-0.66521,761.63
863,-0.61862,761.81
864,-0.53353,762.00
865,-0.59451,762.19
866,-0.39296,762.38
867,-0.41716,762.56
868,-0.30028,762.75
869,-0.18764,762.94
870,-0.09644,763.13
871,-0.27929,763.31
872,-0.00402,763.50
873,-0.32243,763.69
874,-0.26650,763.88
875,-0.37340,764.06
876,-0.00398,764.25
877,-0.45035,764.44
878,-0.44646,764.63
879,-0.36192,764.81
880,-0.22272,765.00
881,-0.24125,765.19
882,-0.35389,765.38
883,0.19297,765.56
884,0.19598,765.75
885,0.34841,765.94
886,0.32237,766.13
887,0.62717,766.31
888,0.66933,766.50
889,1.06299,766.69
890,1.12850,766.88
891,1.22073,767.06
892,1.30094,767.25
893,1.64815,767.44
894,1.78187,767.63
895,1.43275,767.81
896,1.49306,768.00
897,1.64170,768.19
898,1.47836,768.38
899,1.39795,768.56
900,1.23656,768.75
901,1.12011,768.94
902,0.85983,769.13
903,0.47701,769.31
904,0.67311,769.50
905,0.35313,769.69
906,0.10232,769.88
907,0.35145,770.06
908,-0.01353,770.25
909,-0.15533,770.44
910,-0.28538,770.63
911,-0.11616,770.81
912,-0.14354,771.00
913,0.32939,771.19
914,-0.00457,771.38
915,0.23872,771.56
916,0.07131,771.75
917,0.49603,771.94
918,0.49253,772.13
919,0.55144,772.31
920,0.51821,772.50
921,1.14129,772.69
922,0.96998,772.88
923,1.19385,773.06
924,1.08776,773.25
925,1.42491,773.44
926,1.23540,773.63
927,1.21686,773.81
928,0.99486,774.00
929,1.07791,774.19
930,0.97616,774.38
931,1.10372,774.56
932,1.02895,774.75
933,0.67114,774.94
934,0.57720,775.13
935,0.76769,775.31
936,0.40726,775.50
937,0.53236,775.69
938,0.65917,775.88
939,0.41953,776.06
940,0.35847,776.25
941,0.45444,776.44
942,0.78527,776.63
943,1.24218,776.81
944,0.97522,777.00
945,1.11514,777.19
946,1.07556,777.38
947,1.13457,777.56
948,1.03218,777.75
949,1.08603,777.94
950,0.98893,778.13
951,0.88559,778.31
952,0.94069,778.50
953,0.72186,778.69
954,0.72951,778.88
955,0.49272,779.06
956,0.40237,779.25
957,-0.02754,779.44
958,-0.33644,779.63
959,-0.32721,779.81
960,-0.57388,780.00
961,-0.47635,780.19
962,-0.87883,780.38
963,-1.27428,780.56
964,-1.37357,780.75
965,-1.25851,780.94
966,-1.44186,781.13
967,-1.53745,781.31
968,-1.44671,781.50
969,-1.58882,781.69
970,-1.13131,781.88
971,-1.04674,782.06
972,-0.87445,782.25
973,-0.93078,782.44
974,-0.80397,782.63
975,-0.54170,782.81
976,-0.44728,783.00
977,-0.28799,783.19
978,-0.35795,783.38
979,-0.58692,783.56
980,-0.05349,783.75
981,-0.03320,783.94
982,-0.21659,784.13
983,-0.00737,784.31
984,-0.23137,784.50
985,-0.46067,784.69
986,-0.39853,784.88
987,-0.56350,785.06
988,-0.62786,785.25
989,-0.76786,785.44
990,-0.71996,785.63
991,-0.75830,785.81
992,-0.97290,786.00
993,-0.67494,786.19
994,-0.97242,786.38
995,-1.42706,786.56
996,-0.89129,786.75
997,-1.24048,786.94
998,-1.06850,787.13
999,-0.63021,787.31
1000,-0.44081,787.50
1001,-0.50108,787.69
1002,-0.37568,787.88
1003,-0.19594,788.06
1004,-0.32550,788.25
1005,-0.26653,788.44
1006,-0.27578,788.63
1007,-0.49050,788.81
1008,-0.51923,789.00
1009,-0.33331,789.19
1010,-0.65507,789.38
1011,-0.41546,789.56
1012,-0.66144,789.75
1013,-0.79919,789.94
1014,-1.03995,790.13
1015,-0.93664,790.31
1016,-1.19886,790.50
1017,-1.25088,790.69
1018,-1.17282,790.88
1019,-1.58457,791.06
1020,-1.79809,791.25
1021,-1.39776,791.44
1022,-1.16508,791.63
1023,-1.29888,791.81
1024,-1.09375,792.00
1025,-1.01122,792.19
1026,-0.76563,792.38
1027,-0.82295,792.56
1028,-0.28949,792.75
1029,-0.20669,792.94
1030,-0.12499,793.13
1031,0.12714,793.31
1032,0.61278,793.50
1033,0.79723,793.69
1034,0.78381,793.88
1035,0.83624,794.06
1036,1.04203,794.25
1037,0.81269,794.44
1038,1.20434,794.63
1039,1.10359,794.81
1040,1.16305,795.00
1041,1.22409,795.19
1042,0.93731,795.38
1043,0.89142,795.56
1044,0.77256,795.75
1045,0.67514,795.94
1046,0.42915,796.13
1047,0.45418,796.31
1048,0.50879,796.50
1049,0.23479,796.69
1050,0.30702,796.88
1051,0.59355,797.06
1052,-0.05377,797.25
1053,0.51725,797.44
1054,0.50154,797.63
1055,0.56673,797.81
1056,0.52191,798.00
1057,0.96152,798.19
1058,1.07087,798.38
1059,1.14901,798.56
1060,1.08122,798.75
1061,0.98855,798.94
1062,1.26525,799.13
1063,1.02479,799.31
1064,1.16167,799.50
1065,0.56746,799.69
1066,0.81415,799.88
1067,0.75537,800.06
1068,0.38181,800.25
1069,0.52344,800.44
1070,0.25268,800.63
1071,0.26612,800.81
1072,0.23101,801.00
1073,0.03010,801.19
1074,0.13147,801.38
1075,-0.17796,801.56
1076,-0.12411,801.75
1077,0.02412,801.94
1078,0.11725,802.13
1079,0.20848,802.31
1080,0.52985,802.50
1081,0.80362,802.69
1082,0.75173,802.88
1083,0.94156,803.06
1084,0.94168,803.25
1085,1.21839,803.44
1086,1.46140,803.63
1087,1.25146,803.81
1088,1.84141,804.00
1089,1.55266,804.19
1090,1.50259,804.38
1091,1.75221,804.56
1092,1.39965,804.75
1093,1.51204,804.94
1094,1.55237,805.13
1095,1.39932,805.31
1096,0.90913,805.50
1097,0.55719,805.69
1098,0.66719,805.88
1099,0.30948,806.06
1100,0.11381,806.25
1101,0.29003,806.44
1102,-0.11782,806.63
1103,-0.29030,806.81
1104,-0.35435,807.00
1105,-0.07075,807.19
1106,-0.26795,807.38
1107,-0.43674,807.56
1108,-0.44955,807.75
1109,-0.27780,807.94
1110,-0.19010,808.13
1111,-0.20976,808.31
1112,-0.13799,808.50
1113,-0.48504,808.69
1114,-0.18156,808.88
1115,-0.06261,809.06
1116,-0.24735,809.25
1117,-0.45740,809.44
1118,-0.48132,809.63
1119,-0.03706,809.81
1120,-0.31717,810.00
1121,-0.49484,810.19
1122,-0.82042,810.38
1123,-0.67244,810.56
1124,-0.86392,810.75
1125,-1.22381,810.94
1126,-1.16383,811.13
1127,-1.11416,811.31
1128,-1.56070,811.50
1129,-1.46692,811.69
1130,-1.16055,811.88
1131,-1.33660,812.06
1132,-1.36469,812.25
1133,-0.97312,812.44
1134,-1.09831,812.63
1135,-0.89959,812.81
1136,-0.58579,813.00
1137,-0.35901,813.19
1138,-0.38824,813.38
1139,-0.29537,813.56
1140,0.09361,813.75
1141,0.00595,813.94
1142,0.38520,814.13
1143,0.20707,814.31
1144,0.03356,814.50
1145,0.24317,814.69
1146,0.33810,814.88
1147,0.01393,815.06
1148,-0.41299,815.25
1149,-0.33053,815.44
1150,-0.39955,815.63
1151,-0.74752,815.81
1152,-0.71710,816.00
1153,-1.08348,816.19
1154,-1.13883,816.38
1155,-1.32241,816.56
1156,-1.40525,816.75
1157,-1.48588,816.94
1158,-1.46588,817.13
1159,-1.48595,817.31
1160,-1.62005,817.50
1161,-1.20522,817.69
1162,-1.39645,817.88
1163,-1.08053,818.06
1164,-1.19446,818.25
1165,-0.85626,818.44
1166,-0.59277,818.63
1167,-0.52621,818.81
1168,-0.60357,819.00
1169,-0.57447,819.19
1170,-0.26744,819.38
1171,-0.35360,819.56
1172,-0.19469,819.75
1173,-0.21824,819.94
1174,-0.19036,820.13
1175,-0.44545,820.31
1176,-0.35102,820.50
1177,-0.27750,820.69
1178,-0.77816,820.88
1179,-0.41296,821.06
1180,-0.32124,821.25
1181,-0.65638,821.44
1182,-0.47418,821.63
1183,-0.34472,821.81
1184,-0.21852,822.00
1185,-0.20672,822.19
1186,-0.01772,822.38
1187,0.49349,822.56
1188,0.56205,822.75
1189,0.55077,822.94
1190,0.57548,823.13
1191,0.63930,823.31
1192,1.22720,823.50
1193,1.21327,823.69
1194,1.39113,823.88
