Id,Group,Value
221,A,46.094
222,A,39.730
223,A,34.507
224,A,36.798
225,A,39.480
226,A,16.632
227,A,28.519
228,A,26.753
229,A,36.800
230,A,23.649
231,A,37.776
232,A,34.950
233,A,25.499
234,A,24.446
235,A,41.460
236,A,41.003
237,A,32.276
238,A,23.257
239,A,34.522
240,A,25.113
241,A,30.424
242,A,29.114
243,A,29.905
244,A,26.480
245,A,44.401
246,A,45.638
247,A,27.394
248,A,40.556
249,A,28.703
250,A,33.634
251,A,23.555
252,A,26.011
253,A,42.740
254,A,34.730
255,A,23.701
256,A,40.103
257,A,31.795
258,A,41.042
259,A,24.080
260,A,45.107
261,A,46.836
262,A,36.082
263,A,34.771
264,A,36.858
265,A,33.445
266,A,37.871
267,A,28.879
268,A,42.956
269,A,35.722
270,A,36.975
271,A,39.594
272,A,22.854
273,A,35.363
274,A,22.609
275,A,41.449
276,A,32.364
277,A,33.954
278,A,39.609
279,A,41.866
280,A,48.042
281,A,43.058
282,A,27.924
283,A,48.570
284,A,45.407
285,A,23.049
286,A,32.561
287,A,44.050
288,A,31.980
289,A,26.766
290,A,27.824
291,A,30.104
292,A,23.527
293,A,17.733
294,A,25.907
295,A,31.586
296,A,44.210
297,A,31.367
298,A,41.923
299,A,33.427
300,A,44.040
301,A,36.335
302,A,32.094
303,A,51.616
304,A,35.655
305,A,25.936
306,A,36.365
307,A,32.583
308,A,17.858
309,A,34.531
310,A,24.306
311,A,46.214
312,A,41.023
313,A,52.614
314,A,30.457
315,A,54.776
316,A,18.692
317,A,32.665
318,A,56.965
319,A,25.850
320,A,23.428
321,A,42.512
322,A,32.731
323,A,29.494
324,A,31.543
325,A,38.675
326,A,22.223
327,A,46.054
328,A,31.039
329,A,40.645
330,A,22.174
331,A,27.970
332,A,30.495
333,A,42.611
334,A,37.364
335,A,53.246
336,A,27.859
337,A,43.146
338,A,30.811
339,A,52.796
340,A,38.412
341,A,32.097
342,A,39.413
343,A,23.403
344,A,38.738
345,A,34.032
346,A,39.711
347,A,36.807
348,A,23.259
349,A,24.512
350,A,46.630
351,A,39.469
352,A,38.727
353,A,33.472
354,A,26.898
355,A,38.663
356,A,30.315
357,A,24.652
358,A,23.025
359,A,33.764
360,A,25.137
361,A,31.792
362,A,44.244
363,A,42.997
364,A,34.463
365,A,37.280
366,A,42.916
367,A,31.111
368,A,53.640
369,A,56.350
370,A,29.995
371,A,40.938
372,A,28.538
373,A,47.711
374,A,32.596
375,A,26.790
376,A,42.453
377,A,36.150
378,A,27.824
379,A,35.681
380,A,30.655
381,A,36.597
382,A,36.282
383,A,37.916
384,A,20.886
385,A,47.657
386,A,32.840
387,A,29.491
388,A,44.669
389,A,26.050
390,A,31.475
391,A,34.282
392,A,44.082
393,A,35.555
394,A,48.704
395,A,32.497
396,A,38.998
397,A,31.570
398,A,35.362
399,A,41.618
400,A,27.590
401,A,46.557
402,A,27.437
403,A,27.362
404,A,38.483
405,A,22.223
406,A,26.461
407,A,27.578
408,A,34.662
409,A,43.653
410,A,53.824
411,A,33.877
412,A,26.266
413,A,46.266
414,A,36.880
415,A,38.394
416,A,25.458
417,A,21.280
418,A,33.356
419,A,37.762
420,A,33.516
421,A,26.058
422,A,30.300
423,A,35.608
424,A,40.138
425,A,47.673
426,A,20.794
427,A,22.975
428,A,23.950
429,A,39.445
430,A,37.129
431,A,21.280
432,A,50.759
433,A,31.835
434,A,46.564
435,A,24.138
436,A,30.562
437,A,49.361
438,A,41.655
439,A,35.780
440,A,37.313
441,A,32.344
442,A,41.188
443,A,45.546
444,A,41.893
445,A,45.923
446,A,29.191
447,A,37.203
448,A,34.893
449,A,33.192
450,A,29.375
451,A,27.506
452,A,24.033
453,A,35.339
454,A,33.898
455,A,40.985
456,A,31.945
457,A,40.206
458,A,35.304
459,A,36.051
460,A,39.940
461,A,39.176
462,A,55.060
463,A,34.378
464,A,23.654
465,A,40.186
466,A,35.179
467,A,26.145
468,A,38.965
469,A,35.997
470,A,25.121
471,A,42.751
472,A,39.681
473,A,20.672
474,A,36.463
475,A,39.898
476,A,43.844
477,A,47.213
478,A,32.496
479,A,22.235
480,A,41.116
481,A,38.555
482,A,36.056
483,A,35.449
484,A,19.686
485,A,48.826
486,A,38.366
487,A,35.226
488,A,33.510
489,A,28.578
490,A,50.190
491,A,37.296
492,A,32.167
493,A,17.604
494,A,32.192
495,A,33.741
496,A,19.662
497,A,41.332
498,A,14.456
499,A,37.171
500,A,41.638
501,A,28.767
502,A,32.831
503,A,37.162
504,A,31.131
505,A,24.366
506,A,35.031
507,A,21.790
508,A,35.356
509,A,26.876
510,A,36.100
511,A,34.679
512,A,25.843
513,A,47.041
514,A,35.215
515,A,23.425
516,A,36.049
517,A,30.098
518,A,56.881
519,A,44.117
520,A,41.854
521,A,38.896
522,A,33.552
523,A,31.407
524,A,42.055
525,A,36.062
526,A,39.050
527,A,34.528
528,A,51.735
529,A,33.709
530,A,36.069
531,A,34.310
532,A,33.379
533,A,31.988
534,A,32.863
535,A,29.863
536,A,35.915
537,A,33.325
538,A,33.761
539,A,37.531
540,A,23.277
541,A,33.063
542,A,37.953
543,A,38.922
544,A,24.043
545,A,27.384
546,A,38.159
547,A,34.360
548,A,44.217
549,A,27.469
550,A,47.294
551,A,50.246
552,A,21.975
553,A,17.533
554,A,35.815
555,A,31.364
556,A,56.591
557,A,31.120
558,A,19.602
559,A,35.055
560,A,34.509
561,A,33.401
562,A,40.887
563,A,31.492
564,A,11.202
565,A,18.176
566,A,33.500
567,A,32.553
568,A,37.819
569,A,30.795
570,A,29.698
571,A,33.051
572,A,30.636
573,A,25.010
574,A,48.423
575,A,36.721
576,A,23.451
577,A,19.782
578,A,35.829
579,A,33.523
580,A,24.709
581,A,11.999
582,A,38.221
583,A,43.106
584,A,37.512
585,A,46.605
586,A,24.607
587,A,41.267
588,A,32.300
589,A,23.620
590,A,39.413
591,A,35.543
592,A,27.713
593,A,38.255
594,A,25.041
595,A,31.431
596,A,30.962
597,A,35.292
598,A,38.916
599,A,33.882
600,A,33.139
601,A,27.355
602,A,23.033
603,A,48.369
604,A,39.582
605,A,44.193
606,A,41.372
607,A,41.790
608,A,24.758
609,A,39.991
610,A,40.900
611,A,40.584
612,A,43.028
613,A,60.299
614,A,40.239
615,A,26.573
616,A,28.429
617,A,26.221
618,A,31.261
619,A,35.222
620,A,44.950
621,A,33.573
622,A,45.981
623,A,28.067
624,A,34.002
625,A,25.508
626,A,36.136
627,A,38.064
628,A,19.434
629,A,41.500
630,A,36.819
631,A,32.063
632,A,30.529
633,A,28.344
634,A,44.053
635,A,32.059
636,A,38.613
637,A,36.045
638,A,42.067
639,A,39.730
640,A,25.954
641,A,22.293
642,A,42.019
643,A,39.832
644,A,30.624
645,A,33.219
646,A,32.033
647,A,33.186
648,A,28.527
649,A,30.784
650,A,33.620
651,A,33.079
652,A,43.036
653,A,45.545
654,A,37.101
655,A,33.823
656,A,32.216
657,A,30.215
658,A,41.734
659,A,33.066
660,A,38.379
661,A,24.525
662,A,36.745
663,A,33.488
664,A,14.284
665,A,43.377
666,A,23.171
667,A,44.471
668,A,42.295
669,A,36.036
670,A,46.532
671,A,40.908
672,A,39.165
673,A,33.337
674,A,41.205
675,A,42.701
676,A,26.080
677,A,40.879
678,A,42.139
679,A,35.592
680,A,33.594
681,A,40.959
682,A,36.106
683,A,47.747
684,A,42.527
685,A,30.979
686,A,45.002
687,A,28.099
688,A,28.346
689,A,33.818
690,A,44.428
691,A,33.218
692,A,32.317
693,A,43.830
694,A,32.017
695,A,45.310
696,A,37.572
697,A,41.337
698,A,41.212
699,A,39.952
700,A,41.989
701,A,29.292
702,A,34.924
703,A,31.784
704,A,31.959
705,A,36.170
706,A,38.582
707,A,35.258
708,A,39.723
709,A,39.036
710,A,46.766
711,A,39.879
712,A,39.404
713,A,43.618
714,A,38.987
715,A,41.462
716,A,35.620
717,A,38.165
718,A,39.700
719,A,18.624
720,A,34.706
721,A,44.577
722,A,41.793
723,A,28.610
724,A,52.749
725,A,31.350
726,A,37.146
727,A,37.197
728,A,38.292
729,A,26.751
730,A,26.420
731,A,35.152
732,A,40.495
733,A,45.283
734,A,21.403
735,A,40.578
736,A,43.772
737,A,52.281
738,A,23.808
739,A,41.690
740,A,41.055
741,A,46.896
742,A,29.865
743,A,35.992
744,A,36.778
745,A,18.539
746,A,43.832
747,A,37.999
748,A,32.414
749,A,21.407
750,A,23.787
751,A,45.351
752,A,18.027
753,A,28.324
754,A,31.024
755,A,50.288
756,A,40.075
757,A,44.253
758,A,50.784
759,A,27.871
760,A,26.409
761,A,32.764
762,A,41.034
763,A,25.907
764,A,46.548
765,A,31.040
766,A,43.445
767,A,20.379
768,A,31.397
769,A,34.826
770,A,33.877
771,A,26.826
772,A,43.119
773,A,32.438
774,A,36.466
775,A,35.801
776,A,41.030
777,A,57.080
778,A,39.454
779,A,33.410
780,A,27.944
781,A,30.353
782,A,31.423
783,A,35.932
784,A,30.363
785,A,39.665
786,A,34.023
787,A,33.274
788,A,26.476
789,A,29.216
790,A,34.922
791,A,41.946
792,A,17.130
793,A,36.048
794,A,28.889
795,A,41.680
796,A,27.422
797,A,13.616
798,A,22.382
799,A,41.997
800,A,37.361
801,A,42.449
802,A,30.292
803,A,30.798
804,A,30.149
805,A,31.688
806,A,56.716
807,A,28.444
808,A,41.312
809,A,30.802
810,A,34.696
811,A,51.889
812,A,40.141
813,A,31.786
814,A,39.135
815,A,35.582
816,A,36.572
817,A,27.483
818,A,33.557
819,A,43.754
820,A,23.139
821,A,32.152
822,A,34.756
823,A,36.741
824,A,36.842
825,A,38.914
826,A,29.584
827,A,25.884
828,A,29.966
829,A,32.609
830,A,29.218
831,A,26.332
832,A,35.167
833,A,34.542
834,A,27.596
835,A,26.219
836,A,42.570
837,A,39.970
838,A,29.059
839,A,21.693
840,A,37.079
841,A,29.379
842,A,23.028
843,A,40.957
844,A,38.091
845,A,28.142
846,A,27.164
847,A,35.179
848,A,41.638
849,A,49.918
850,A,29.110
851,A,33.681
852,A,21.011
853,A,25.092
854,A,32.027
855,A,24.774
856,A,32.064
857,A,22.780
858,A,36.247
859,A,28.561
860,A,44.918
861,A,34.671
862,A,33.275
863,A,37.143
864,A,29.065
865,A,32.302
866,A,24.779
867,A,27.927
868,A,32.038
869,A,31.479
870,A,43.104
871,A,33.942
872,A,19.974
873,A,38.554
874,A,42.478
875,A,35.500
876,A,50.570
877,A,45.938
878,A,42.997
879,A,35.716
880,A,45.186
881,A,28.309
882,A,43.441
883,A,23.614
884,A,29.998
885,A,25.881
886,A,29.577
887,A,14.471
888,A,41.453
889,A,33.602
890,A,29.465
891,A,31.657
892,A,34.666
893,A,36.816
894,A,20.032
895,A,49.543
896,A,31.036
897,A,28.189
898,A,34.421
899,A,27.272
900,A,47.251
901,A,38.297
902,A,36.709
903,A,20.915
904,A,31.282
905,A,30.492
906,A,8.813
907,A,37.725
908,A,39.949
909,A,36.575
910,A,33.704
911,A,30.523
912,A,32.900
913,A,23.772
914,A,25.040
915,A,29.992
916,A,20.146
917,A,22.997
918,A,47.533
919,A,38.608
920,A,38.147
921,A,33.262
922,A,34.795
923,A,51.897
924,A,45.106
925,A,45.467
926,A,33.657
927,A,32.130
928,A,47.101
929,A,42.062
930,A,39.426
931,A,34.500
932,A,29.109
933,A,34.803
934,A,30.875
935,A,31.074
936,A,30.653
937,A,35.219
938,A,29.573
939,A,35.603
940,A,32.671
941,A,52.616
942,A,38.113
943,A,46.505
944,A,36.423
945,A,36.533
946,A,29.622
947,A,32.434
948,A,42.218
949,A,39.270
950,A,43.774
951,A,41.740
952,A,37.056
953,A,32.457
954,A,25.193
955,A,29.902
956,A,29.915
957,A,48.660
958,A,19.437
959,A,27.725
960,A,24.163
961,A,44.296
962,A,40.623
963,A,34.155
964,A,24.157
965,A,30.550
966,A,21.264
967,A,25.419
968,A,30.604
969,A,37.728
970,A,24.036
971,A,26.538
972,A,34.083
973,A,37.187
974,A,36.924
975,A,39.279
976,A,35.062
977,A,31.109
978,A,42.136
979,A,43.933
980,A,34.978
981,A,44.708
982,A,24.189
983,A,39.009
984,A,37.977
985,A,42.258
986,A,46.554
987,A,41.322
988,A,20.437
989,A,23.922
990,A,37.841
991,A,49.030
992,A,40.189
993,A,43.748
994,A,29.370
995,A,41.112
996,A,28.862
997,A,31.943
998,A,36.384
999,A,34.215
1000,A,42.471
1001,A,26.760
1002,A,27.973
1003,A,32.214
1004,A,40.664
1005,A,31.525
1006,A,40.879
1007,A,39.794
1008,A,24.169
1009,A,37.995
1010,A,32.805
1011,A,33.843
1012,A,23.620
1013,A,30.564
1014,A,25.827
1015,A,42.491
1016,A,34.361
1017,A,28.535
1018,A,41.250
1019,A,39.398
1020,A,38.326
1021,A,25.453
1022,A,28.942
1023,A,33.380
1024,A,30.524
1025,A,39.655
1026,A,54.649
1027,A,23.886
1028,A,46.788
1029,A,28.792
1030,A,41.266
1031,A,37.670
1032,A,43.491
1033,A,27.878
1034,A,37.711
1035,A,46.793
1036,A,35.851
1037,A,31.713
1038,A,18.177
1039,A,40.094
1040,A,25.596
1041,A,29.356
1042,A,32.023
1043,A,40.868
1044,A,43.777
1045,A,38.453
1046,A,21.232
1047,A,21.629
1048,A,32.318
1049,A,28.285
1050,A,49.118
1051,A,47.406
1052,A,33.653
1053,A,33.880
1054,A,41.708
1055,A,40.072
1056,A,27.443
1057,A,25.341
1058,A,26.810
1059,A,43.503
1060,A,31.628
1061,A,23.311
1062,A,41.694
1063,A,26.676
1064,A,31.728
1065,A,39.283
1066,A,46.413
1067,A,35.014
1068,A,40.420
1069,A,16.293
1070,A,26.481
1071,A,30.344
1072,A,37.178
1073,A,34.386
1074,A,40.944
1075,A,38.664
1076,A,39.118
1077,A,52.727
1078,A,31.884
1079,A,53.519
1080,A,29.523
1081,A,33.990
1082,A,37.276
1083,A,24.898
1084,A,26.727
1085,A,44.489
1086,A,42.934
1087,A,34.282
1088,A,29.938
1089,A,40.785
1090,A,40.002
1091,A,26.412
1092,A,46.173
1093,A,42.505
1094,A,40.284
1095,A,39.725
1096,A,31.247
1097,A,24.488
1098,A,24.225
1099,A,27.080
1100,A,24.917
1101,A,52.535
1102,A,34.075
1103,A,31.327
1104,A,33.916
1105,A,37.518
1106,A,42.847
1107,A,29.278
1108,A,32.653
1109,A,26.144
1110,A,43.842
1111,A,32.179
1112,A,22.559
1113,A,40.264
1114,A,43.125
1115,A,35.062
1116,A,39.580
1117,A,43.298
1118,A,20.998
1119,A,40.406
1120,A,32.532
1121,A,38.570
1122,A,39.118
1123,A,29.464
1124,A,30.300
1125,A,41.086
1126,A,34.036
1127,A,52.072
1128,A,22.617
1129,A,35.213
1130,A,51.871
1131,A,50.513
1132,A,38.496
1133,A,44.308
1134,A,39.607
1135,A,40.031
1136,A,31.570
1137,A,44.269
1138,A,49.786
1139,A,38.328
1140,A,28.174
1141,A,33.351
1142,A,32.498
1143,A,49.710
1144,A,24.087
1145,A,37.872
1146,A,45.597
1147,A,26.203
1148,A,26.291
1149,A,23.046
1150,A,32.620
1151,A,44.030
1152,A,37.704
1153,A,38.530
1154,A,30.170
1155,A,35.236
1156,A,27.389
1157,A,40.584
1158,A,35.943
1159,A,30.937
1160,A,35.535
1161,A,29.558
1162,A,41.081
1163,A,30.943
1164,A,32.557
1165,A,23.031
1166,A,34.774
1167,A,35.883
1168,A,46.146
1169,A,33.567
1170,A,32.697
1171,A,33.581
1172,A,37.226
1173,A,38.927
1174,A,42.522
1175,A,20.476
1176,A,39.217
1177,A,37.649
1178,A,34.205
1179,A,30.379
1180,A,31.480
1181,A,27.228
1182,A,37.779
1183,A,50.021
1184,A,45.791
1185,A,41.841
1186,A,36.614
1187,A,40.394
1188,A,38.763
1189,A,35.547
1190,A,38.343
1191,A,58.016
1192,A,26.848
1193,A,37.395
1194,A,28.844
1195,A,28.381
1196,A,46.550
1197,A,24.460
1198,A,36.923
1199,A,33.753
1200,A,43.088
1201,A,39.895
1202,A,49.968
1203,A,30.594
1204,A,46.952
1205,A,31.113
1206,A,30.941
1207,A,36.855
1208,A,33.890
1209,A,49.054
1210,A,37.950
1211,A,30.989
1212,A,49.986
1213,A,19.011
1214,A,39.087
1215,A,22.821
1216,A,39.967
1217,A,26.742
1218,A,40.384
1219,A,26.286
1220,A,36.241
1221,A,32.854
1222,A,40.193
1223,A,22.703
1224,A,23.759
1225,A,34.664
1226,A,24.680
1227,A,38.116
1228,A,33.674
1229,A,42.362
1230,A,45.104
1231,A,41.562
1232,A,42.472
1233,A,26.016
1234,A,36.547
1235,A,37.676
1236,A,36.084
1237,A,37.349
1238,A,28.878
1239,A,33.648
1240,A,23.888
1241,A,30.552
1242,A,39.385
1243,A,34.516
1244,A,32.222
1245,A,33.237
1246,A,28.934
1247,A,31.495
1248,A,32.188
1249,A,26.946
1250,A,42.537
1251,A,38.783
1252,A,26.537
1253,A,48.495
1254,A,31.555
1255,A,42.346
1256,A,41.416
1257,A,22.704
1258,A,44.427
1259,A,34.294
1260,A,29.031
1261,A,32.930
1262,A,32.937
1263,A,33.649
1264,A,32.232
1265,A,38.813
1266,A,33.349
1267,A,31.544
1268,A,25.566
1269,A,36.674
1270,A,22.736
1271,A,30.346
1272,A,31.871
1273,A,44.613
1274,A,40.284
1275,A,39.935
1276,A,33.712
1277,A,44.112
1278,A,43.749
1279,A,35.610
1280,A,30.579
1281,A,45.206
1282,A,45.051
1283,A,27.723
1284,A,33.690
1285,A,36.884
1286,A,44.190
1287,A,42.142
1288,A,47.109
1289,A,30.720
1290,A,35.151
1291,A,41.744
1292,A,33.918
1293,A,14.892
1294,A,36.428
1295,A,45.193
1296,A,37.966
1297,A,40.550
1298,A,44.947
1299,A,19.460
1300,A,50.365
1301,A,50.420
1302,A,29.831
1303,A,40.481
1304,A,16.972
1305,A,38.989
1306,A,36.784
1307,A,35.663
1308,A,43.777
1309,A,37.493
1310,A,30.850
1311,A,29.221
1312,A,18.435
1313,A,31.874
1314,A,36.903
1315,A,29.312
1316,A,47.587
1317,A,19.945
1318,A,31.253
1319,A,35.652
1320,A,38.352
1321,A,22.769
1322,A,29.357
1323,A,24.216
1324,A,33.699
1325,A,31.154
1326,A,40.380
1327,A,39.593
1328,A,29.188
1329,A,39.162
1330,A,49.484
1331,A,14.223
1332,A,36.247
1333,A,28.865
1334,A,42.213
1335,A,35.450
1336,A,37.582
1337,A,24.928
1338,A,21.051
1339,A,44.236
1340,A,52.036
1341,A,53.423
1342,A,36.721
1343,A,41.885
1344,A,30.813
1345,A,30.261
1346,A,41.401
1347,A,28.292
1348,A,24.771
1349,A,37.948
1350,A,30.680
1351,A,9.397
1352,A,41.244
1353,A,37.866
1354,A,47.974
1355,A,30.180
1356,A,28.531
1357,A,45.561
1358,A,25.625
1359,A,21.579
1360,A,52.596
1361,A,40.565
1362,A,32.942
1363,A,32.799
1364,A,43.886
1365,A,30.490
1366,A,31.216
1367,A,45.024
1368,A,46.893
1369,A,26.947
1370,A,37.829
1371,A,49.771
1372,A,24.954
1373,A,31.251
1374,A,41.390
1375,A,42.283
1376,A,43.003
1377,A,37.814
1378,A,37.200
1379,A,36.268
1380,A,39.426
1381,A,21.321
1382,A,35.287
1383,A,22.457
1384,A,38.002
1385,A,29.392
1386,A,42.934
1387,A,38.300
1388,A,29.449
1389,A,33.172
1390,A,31.844
1391,A,38.007
1392,A,29.510
1393,A,35.311
1394,A,39.830
1395,A,33.070
1396,A,40.233
1397,A,34.037
1398,A,27.943
1399,A,46.701
1400,A,41.758
1401,A,30.851
1402,A,29.360
1403,A,41.872
1404,A,38.220
1405,A,40.190
1406,A,42.112
1407,A,40.582
1408,A,42.189
1409,A,41.113
1410,A,30.013
1411,A,36.740
1412,A,48.685
1413,A,28.164
1414,A,33.207
1415,A,32.826
1416,A,45.285
1417,A,37.993
1418,A,37.240
1419,A,35.025
1420,A,27.372
1421,A,26.317
1422,A,50.113
1423,A,42.517
1424,A,29.478
1425,A,43.081
1426,A,19.626
1427,A,42.386
1428,A,28.027
1429,A,27.474
1430,A,23.098
1431,A,35.652
1432,A,32.147
1433,A,50.209
1434,A,32.907
1435,A,44.397
1436,A,37.686
1437,A,54.209
1438,A,31.102
1439,A,39.237
1440,A,29.976
1441,A,13.916
1442,A,37.821
1443,A,30.574
1444,A,36.255
1445,A,35.091
1446,A,36.667
1447,A,38.088
1448,A,25.326
1449,A,53.378
1450,A,46.589
1451,A,23.947
1452,A,33.934
1453,A,28.664
1454,A,27.672
1455,A,37.859
1456,A,28.227
1457,A,35.664
1458,A,26.218
1459,A,45.462
1460,A,15.611
1461,A,19.601
1462,A,36.092
1463,A,20.463
1464,A,31.610
1465,A,36.631
1466,A,31.836
1467,A,35.761
1468,A,24.828
1469,A,41.495
1470,A,41.285
1471,A,25.391
1472,A,33.843
1473,A,30.468
1474,A,39.653
1475,A,35.932
1476,A,33.631
1477,A,38.851
1478,A,39.936
1479,A,37.049
1480,A,28.988
1481,A,42.079
1482,A,31.050
1483,A,35.136
1484,A,43.135
1485,A,24.868
1486,A,30.917
1487,A,34.333
1488,A,48.082
1489,A,29.466
1490,A,20.238
1491,A,43.515
1492,A,48.002
1493,A,26.530
1494,A,38.534
1495,A,41.514
1496,A,29.334
1497,A,45.756
1498,A,43.452
1499,A,34.005
1500,A,45.855
1501,A,49.372
1502,A,50.152
1503,A,30.079
1504,A,36.869
1505,A,33.981
1506,A,41.232
1507,A,25.746
1508,A,20.871
1509,A,26.134
1510,A,38.557
1511,A,30.154
1512,A,39.212
1513,A,47.423
1514,A,31.752
1515,A,33.830
1516,A,30.793
1517,A,26.346
1518,A,28.827
1519,A,56.704
1520,A,42.684
1521,A,39.292
1522,A,30.248
1523,A,31.874
1524,A,15.012
1525,A,35.817
1526,A,34.680
1527,A,22.840
1528,A,25.456
1529,A,31.752
1530,A,32.346
1531,A,18.465
1532,A,31.159
1533,A,39.676
1534,A,30.287
1535,A,28.297
1536,A,39.530
1537,A,37.163
1538,A,34.245
1539,A,40.710
1540,A,38.794
1541,A,27.850
1542,A,46.137
1543,A,39.315
1544,A,20.594
1545,A,44.840
1546,A,33.156
1547,A,41.028
1548,A,30.953
1549,A,24.285
1550,A,32.645
1551,A,45.022
1552,A,42.101
1553,A,30.519
1554,A,41.236
1555,A,20.539
1556,A,38.321
1557,A,37.840
1558,A,35.224
1559,A,28.009
1560,A,31.492
1561,A,35.467
1562,A,28.497
1563,A,29.998
1564,A,34.833
1565,A,48.462
1566,A,19.379
1567,A,39.457
1568,A,17.786
1569,A,53.173
1570,A,23.848
1571,A,30.400
1572,A,33.067
1573,A,31.827
1574,A,45.581
1575,A,41.294
1576,A,23.833
1577,A,33.435
1578,A,37.046
1579,A,35.857
1580,A,38.975
1581,A,34.302
1582,A,38.037
1583,A,35.105
1584,A,28.288
1585,A,32.213
1586,A,25.159
1587,A,51.034
1588,A,41.977
1589,A,42.555
1590,A,22.150
1591,A,36.592
1592,A,20.670
1593,A,34.506
1594,A,52.561
1595,A,28.928
1596,A,34.506
1597,A,47.714
1598,A,41.447
1599,A,31.010
1600,A,35.153
1601,A,26.624
1602,A,29.493
1603,A,30.808
1604,A,28.998
1605,A,29.729
1606,A,52.037
1607,A,24.386
1608,A,39.923
1609,A,24.407
1610,A,37.047
1611,A,25.220
1612,A,36.068
1613,A,23.669
1614,A,27.859
1615,A,38.544
1616,A,37.350
1617,A,45.440
1618,A,29.817
1619,A,43.336
1620,A,41.385
1621,A,32.876
1622,A,21.215
1623,A,48.174
1624,A,44.581
1625,A,39.586
1626,A,25.459
1627,A,27.771
1628,A,36.825
1629,A,41.398
1630,A,35.742
1631,A,44.374
1632,A,38.353
1633,A,28.183
1634,A,43.773
1635,A,33.850
1636,A,33.306
1637,A,50.835
1638,A,40.815
1639,A,25.174
1640,A,17.994
1641,A,43.102
1642,A,24.141
1643,A,45.541
1644,A,23.123
1645,A,22.754
1646,A,44.825
1647,A,35.570
1648,A,35.708
1649,A,45.046
1650,A,31.009
1651,A,25.269
1652,A,39.110
1653,A,25.654
1654,A,32.123
1655,A,39.939
1656,A,40.757
1657,A,36.047
1658,A,47.111
1659,A,32.918
1660,A,43.215
1661,A,43.217
1662,A,48.330
1663,A,33.047
