Id,X,Y,Class
153,-2.3576,-0.9234,A
154,-0.9262,-0.4349,A
155,-1.7946,-2.1237,A
156,-0.3914,-1.9537,A
157,-0.5960,-0.4937,A
158,-1.0050,-1.5648,A
159,-1.3330,-1.7257,A
160,-1.8764,-1.1897,A
161,-0.6004,-0.6794,A
162,-0.5112,-1.2399,A
163,-0.2459,-0.5759,A
164,-0.1496,-2.1971,A
165,-2.0583,-0.6261,A
166,-1.3263,-0.8025,A
167,-1.6998,-1.5621,A
168,-0.5290,-0.3754,A
169,-2.0897,-1.1904,A
170,-1.4605,-1.3854,A
171,-1.9763,-0.3877,A
172,-1.3774,-1.6467,A
173,-1.1461,-1.1307,A
174,-1.0991,-2.0367,A
175,0.0331,-0.3590,A
176,-0.5424,-0.5147,A
177,0.8657,-0.9721,A
178,-0.6173,0.2493,A
179,-1.8406,-0.7001,A
180,-1.7310,-0.4032,A
181,-1.5164,-1.0543,A
182,-1.0642,-1.2789,A
183,-2.5257,-1.9912,A
184,-1.5516,0.3983,A
185,-1.1329,-0.4710,A
186,-0.2700,-1.0277,A
187,0.0299,0.4312,A
188,-1.3428,-0.9719,A
189,-0.6446,-0.8621,A
190,-1.1650,-0.3765,A
191,-0.9255,-1.2782,A
192,-1.6132,-0.6748,A
193,-0.4590,-1.3046,A
194,-0.5214,-2.7523,A
195,0.2148,-1.0676,A
196,-1.4474,-0.1752,A
197,-0.2250,0.6492,A
198,-0.0175,-0.9991,A
199,-2.0181,-1.5064,A
200,-0.0714,-1.5249,A
201,-0.9301,-1.5246,A
202,-0.7907,-0.4332,A
203,-0.2506,-2.0495,A
204,-1.7572,-1.9084,A
205,-1.6083,-1.4845,A
206,0.3782,-1.0149,A
207,-0.9538,-1.7063,A
208,-0.7161,-0.7671,A
209,-0.4581,-0.3096,A
210,-0.8857,0.0692,A
211,-1.3297,-0.5671,A
212,-1.6746,-1.6577,A
213,-0.0700,-0.5523,A
214,-0.9467,-0.4644,A
215,-1.5539,-0.6010,A
216,0.1806,-1.8245,A
217,-0.8859,0.2993,A
218,0.1418,-0.9491,A
219,-1.1113,-1.8210,A
220,-0.7940,-0.6326,A
221,-1.0525,-1.7834,A
222,-1.7227,-1.7924,A
223,-1.5858,-0.3513,A
224,0.4429,-1.1225,A
225,-0.3863,-1.3639,A
226,-1.1799,-1.1770,A
227,-0.8358,-2.1202,A
228,-0.6332,-1.2397,A
229,-0.8077,-0.6478,A
230,-0.6284,-1.0605,A
231,-0.5890,-0.0994,A
232,-0.8506,0.2142,A
233,-0.6177,-2.9163,A
234,0.2714,-2.4602,A
235,-1.2218,-0.2149,A
236,-0.2791,-2.5905,A
237,-1.0543,0.0534,A
238,-1.8716,-1.5732,A
239,-0.7687,-0.8696,A
240,-1.0133,0.1043,A
241,-0.3613,0.7658,A
242,-1.4238,-0.5412,A
243,-1.1963,-1.8784,A
244,0.6192,-1.0492,A
245,-0.3848,-1.7074,A
246,-1.9606,-1.2200,A
247,-1.2976,-1.5726,A
248,-1.6649,-0.4519,A
249,-1.5261,-0.8229,A
250,-1.0057,-0.6769,A
251,-1.0071,-1.0584,A
252,-1.5107,-0.9458,A
253,-0.9240,-0.9235,A
254,-1.2205,-0.3928,A
255,-0.4970,-1.8639,A
256,-1.0996,-0.4810,A
257,-0.7930,-0.6829,A
258,-0.6462,-1.6046,A
259,-0.1164,-2.5327,A
260,-0.4370,-0.3329,A
261,-1.2539,-0.5757,A
262,-0.9388,-1.6165,A
263,-1.3338,-0.7468,A
264,-1.4129,-1.2376,A
265,-1.9571,-0.9787,A
266,-1.2141,-0.0404,A
267,-0.7601,-0.6295,A
268,-0.9347,-0.5425,A
269,-0.4200,-1.3081,A
270,-0.3438,-2.0590,A
271,-1.4381,-1.7438,A
272,0.0857,-0.9441,A
273,-0.5794,-1.4933,A
274,-2.2122,-1.5793,A
275,-1.0641,-0.5482,A
276,-1.4689,-0.9571,A
277,-0.8189,-0.3943,A
278,-0.4098,-0.9776,A
279,-1.4927,-1.4548,A
280,-0.9453,-1.6756,A
281,-1.3046,-1.1502,A
282,0.0003,-0.8192,A
283,-1.4572,-1.8079,A
284,-1.4355,-0.9252,A
285,-0.8920,-0.9747,A
286,-1.6744,0.3275,A
287,-2.7631,-1.2904,A
288,-1.2741,-1.5087,A
289,-1.8460,-0.3441,A
290,-1.0340,-2.4765,A
291,-0.7166,-1.1780,A
292,-2.2774,0.2111,A
293,-1.6582,-0.4532,A
294,-1.0408,-0.2310,A
295,-1.3771,0.6775,A
296,-0.8953,-0.9300,A
297,-0.4136,-1.8405,A
298,-0.0176,-2.0646,A
299,-0.8914,-1.9113,A
300,-0.8302,-0.2694,A
301,-2.4497,-0.6682,A
302,-0.7734,-0.9748,A
303,-1.4728,-1.5749,A
304,-1.4730,-0.9855,A
305,-0.8060,-0.8259,A
306,0.2943,-1.6636,A
307,-0.9455,-1.4338,A
308,0.2074,-1.4843,A
309,-1.2441,-0.4792,A
310,-0.7086,-1.8972,A
311,-0.9032,-0.4058,A
312,-0.1722,-1.8010,A
313,-1.1211,-0.1503,A
314,-1.0961,-2.3795,A
315,-0.5590,-0.4282,A
316,-1.5730,-0.8156,A
317,-1.9021,-1.8208,A
318,-1.7772,-1.7365,A
319,-0.9720,-1.2832,A
320,-0.4123,-2.1061,A
321,-1.8395,-1.9966,A
322,-0.7357,-0.4419,A
323,-1.1689,-1.4462,A
324,0.1859,-0.6288,A
325,-0.6060,-0.4347,A
326,0.3792,-0.2437,A
327,-0.3560,-1.9309,A
328,-0.7454,0.0622,A
329,-0.6930,-1.2409,A
330,-0.7809,-1.0552,A
331,-1.3744,-1.5422,A
332,-0.8742,-0.8687,A
333,0.3667,-1.2705,A
334,-2.0946,-1.6464,A
335,-1.6003,-1.7589,A
336,-0.9449,-0.0731,A
337,-1.6503,-1.7121,A
338,-0.9074,-1.5153,A
339,-1.1659,-2.5447,A
340,-1.9156,-1.0541,A
341,-0.8560,-2.0913,A
342,-2.0048,-1.8275,A
343,-1.1677,-0.6185,A
344,0.3337,-2.1592,A
345,-0.7699,0.2016,A
346,-0.1219,-1.4271,A
347,-1.5192,-1.1303,A
348,-1.5874,-0.8553,A
349,-0.4548,-0.9204,A
350,-0.9047,-0.2105,A
351,-1.8931,-0.8413,A
352,-1.4058,-0.1542,A
353,-1.2934,0.0677,A
354,-2.0066,-0.3587,A
355,-0.7965,-0.2454,A
356,-2.2047,-2.9880,A
357,-1.0995,-0.5353,A
358,-1.5670,-1.5741,A
359,-1.1623,-0.0968,A
360,-0.8929,-0.3831,A
361,-0.2342,-1.7407,A
362,-1.3395,-1.1096,A
363,-1.2259,-0.5597,A
364,-0.8474,-1.1631,A
365,-2.1277,0.1684,A
366,-0.8579,0.0778,A
367,-0.6495,-0.5052,A
368,-1.0964,-0.8615,A
369,0.5064,-0.9155,A
370,-1.5176,-2.0271,A
371,-1.3016,-0.5641,A
372,-0.8252,-0.5279,A
373,-0.8314,-1.2561,A
374,-0.7243,-0.5751,A
375,-0.4549,-1.4299,A
376,-0.3229,-0.7434,A
377,-0.8972,-0.3282,A
378,-1.0836,-0.5246,A
379,-2.2998,0.7208,A
380,-0.5196,-0.8459,A
381,-0.7254,-0.4275,A
382,-0.6910,-1.1423,A
383,-1.3239,-1.4158,A
384,-0.8072,-0.8656,A
385,0.3789,-1.5731,A
386,-2.0159,-2.0430,A
387,-1.2104,-1.3068,A
388,-1.3883,-1.0154,A
389,0.6809,0.3107,A
390,-1.6857,-0.9460,A
391,-0.6870,-0.9852,A
392,0.2550,-0.3250,A
393,-0.8299,-2.0450,A
394,-0.7979,-2.0100,A
395,-0.3176,-0.5244,A
396,-1.4866,-0.5481,A
397,-0.8707,-0.6699,A
398,-1.1351,-1.9417,A
399,-1.0247,-0.7638,A
400,-1.5948,0.2233,A
401,-0.7122,-1.7935,A
402,-1.1103,-1.3481,A
403,-1.0040,-0.3483,A
404,-1.6914,-0.8310,A
405,-0.8364,-1.3066,A
406,-2.0077,-1.0628,A
407,-0.6555,-1.0247,A
408,-0.6257,-2.2579,A
409,-0.1000,-1.5483,A
410,-1.0367,-0.1875,A
411,-0.8687,-0.4169,A
412,-1.1009,-0.0967,A
413,-0.1216,-1.1385,A
414,-0.7537,-0.4070,A
415,-2.3294,-0.4700,A
416,-1.2701,-0.5182,A
417,-1.1471,1.0029,A
418,-1.9082,0.5545,A
419,-1.4304,-0.6852,A
420,-0.2987,-1.1934,A
421,-1.5738,-0.7292,A
422,-0.7318,-1.5271,A
423,-1.0179,-1.3190,A
424,-0.7665,-2.1325,A
425,-0.1160,-0.5294,A
426,-0.9665,-1.0215,A
427,-1.1982,-1.2467,A
428,-2.0744,-0.3166,A
429,-2.0309,-1.3201,A
430,0.8613,-1.6807,A
431,-1.7201,-1.6594,A
432,-0.7779,-1.2776,A
433,-0.9739,-0.3644,A
434,-0.7064,-0.8646,A
435,0.1636,-1.4042,A
436,-1.5152,-1.1123,A
437,-1.9675,-2.0698,A
438,-1.0941,-0.1319,A
439,-0.6650,-0.5358,A
440,-0.5677,-1.3660,A
441,-2.4229,-1.6404,A
442,-0.6955,-0.5376,A
443,-1.3546,0.2031,A
444,-1.2152,0.7131,A
445,-1.3094,-0.4854,A
446,-1.4275,-1.4944,A
447,-1.2081,-0.5545,A
448,-1.2786,-1.6791,A
449,-1.4991,-0.6675,A
450,-0.7745,-0.3165,A
451,-1.4003,-1.3673,A
452,-0.2852,-1.0425,A
453,0.4938,-0.1485,A
454,-2.1422,-2.1415,A
455,-0.2544,-0.5029,A
456,-1.9500,-0.7635,A
457,-0.0595,0.6395,A
458,-2.1089,0.1125,A
459,-0.9844,1.2331,A
460,0.4325,-1.5531,A
461,-1.0411,-1.0992,A
462,-0.6039,-1.9394,A
463,-2.0353,-0.4465,A
464,-0.6493,-0.5582,A
465,-1.4945,-0.5330,A
466,-0.7924,-1.2446,A
467,-1.7218,-0.3256,A
468,-0.8205,-0.7761,A
469,-1.4994,-0.2311,A
470,-0.2493,-0.5119,A
471,-0.3138,-1.3555,A
472,-1.5428,-2.0559,A
473,-1.1376,-1.5323,A
474,0.8557,-1.4529,A
475,-0.8199,-0.9849,A
476,-1.4436,-0.8891,A
477,1.1004,-0.7688,A
478,-0.0261,-2.5148,A
479,-2.2735,-1.5808,A
480,-0.1010,-0.7416,A
481,0.2441,-0.9583,A
482,-2.6435,-2.4631,A
483,-1.3610,-1.7192,A
484,-1.2187,-0.0762,A
485,-1.0660,-0.4352,A
486,-0.2006,-0.6617,A
487,-2.1395,-1.3663,A
488,-2.3103,0.2938,A
489,-0.7262,-1.6948,A
490,0.5407,-1.7027,A
491,-0.4961,-1.8071,A
492,-0.7326,0.1733,A
493,-1.7150,-1.0195,A
494,-0.7930,-1.1594,A
495,-0.3414,-1.7022,A
496,-0.4344,-1.4551,A
497,-0.6327,-1.0150,A
498,-0.8061,-0.1475,A
499,-3.0669,-0.2811,A
500,-1.2209,-0.1146,A
501,-0.3522,-0.9473,A
502,-0.5000,-0.3715,A
503,-1.4154,-1.1429,A
504,-2.5718,-1.1553,A
505,-0.2566,-0.9854,A
506,0.0256,-0.7113,A
507,-1.1934,-1.7028,A
508,-1.2280,-1.6582,A
509,-1.5224,-2.2098,A
510,-0.9902,0.1047,A
511,-0.4814,-1.5577,A
512,-1.6401,0.4095,A
513,-1.9040,-0.2137,A
514,-0.6643,-0.2361,A
515,-1.8945,-0.7908,A
516,0.1409,-1.1951,A
517,-1.0772,-0.1989,A
518,-1.5983,-1.2774,A
519,-0.0170,-1.0453,A
520,-1.4491,-1.0653,A
521,-1.7708,-0.5903,A
522,-1.8910,-1.2705,A
523,-0.5174,-0.6203,A
524,-2.2091,-1.6378,A
525,-1.9260,-1.0461,A
526,-0.2718,-1.6724,A
527,-1.1130,-1.4824,A
528,-2.0488,-0.8912,A
529,-1.2550,-1.0029,A
530,-1.1529,-0.5803,A
531,-1.6908,-1.0090,A
532,-0.3325,-1.8021,A
533,-1.3086,-0.2094,A
534,0.2078,0.2328,A
535,-0.2464,-1.3820,A
536,-2.4602,-1.0309,A
537,-1.0716,-0.6852,A
538,-0.0189,1.1549,A
539,-1.2434,-1.8541,A
540,-0.9215,-1.2689,A
541,-1.3839,-2.2842,A
542,-0.6921,-1.6643,A
543,-0.3343,-0.9943,A
544,-1.1083,-0.8270,A
545,-0.6725,-1.4209,A
546,-1.0927,-2.4768,A
547,-1.4520,0.1149,A
548,-0.6388,-1.4291,A
549,-0.4236,-0.3280,A
550,-0.5249,-1.5131,A
551,-1.8673,-0.1053,A
552,-0.3221,-0.2157,A
553,0.1917,-0.6013,A
554,-0.5761,-0.7751,A
555,-1.0865,0.5657,A
556,-0.7844,-1.1595,A
557,-0.0457,0.5474,A
558,0.9062,-0.2420,A
559,-1.2825,-1.1739,A
560,-1.0353,-0.4116,A
561,-0.5122,-1.4237,A
562,-0.4140,-1.2675,A
563,-1.0781,0.8494,A
564,-1.7192,-0.9365,A
565,-1.5198,-1.1347,A
566,-1.0982,-1.8572,A
567,0.2415,-0.4463,A
568,-1.2064,-0.7705,A
569,-0.3189,-0.9521,A
570,-1.3403,-1.5251,A
571,-0.6733,-0.6050,A
572,-1.9004,-1.1300,A
573,-0.7858,-1.1291,A
574,-2.1538,-1.1199,A
575,-1.4796,0.1409,A
576,-0.6766,-1.8861,A
577,-0.5836,-1.5306,A
578,-1.0986,-0.5839,A
579,-1.2129,-1.8401,A
580,-1.1688,-0.8020,A
581,-0.1872,-1.1174,A
582,-0.8423,-1.1612,A
583,-1.0649,-0.0173,A
584,-0.8608,-2.1347,A
585,-2.3517,-1.0191,A
586,-1.5174,-0.0396,A
587,-1.7681,-1.4257,A
588,-0.7250,-0.1242,A
589,-1.7064,-1.8787,A
590,-2.1356,-0.6194,A
591,-0.8798,-1.1391,A
592,-1.2591,-1.9060,A
593,-1.6411,-1.3279,A
594,-1.6982,-1.0911,A
595,0.4543,-0.6201,A
596,-1.5444,-1.4080,A
597,-2.0013,-1.2222,A
598,-0.7297,-1.6861,A
599,-0.2078,-1.0552,A
600,-1.2048,-1.9156,A
601,-1.3130,-0.0400,A
602,-1.3706,-0.4975,A
603,-0.8506,-1.5917,A
604,-1.9009,-0.0728,A
605,-1.2663,0.2675,A
606,-0.4810,-0.9746,A
607,-1.4059,-1.6699,A
608,-1.7947,-0.7401,A
609,-1.6009,-0.5467,A
610,-0.4838,0.3226,A
611,-0.4778,-1.9634,A
612,-1.7129,-1.0532,A
613,-0.9063,-0.5207,A
614,-1.8864,-0.9811,A
615,-1.0680,0.2059,A
616,-0.8612,-0.9693,A
617,-0.9866,-1.0866,A
618,-1.5153,-1.2791,A
619,-0.2294,-0.2555,A
620,-1.0556,-1.5904,A
621,-0.3118,-1.3963,A
622,-1.4836,0.6407,A
623,-0.8624,-1.3172,A
624,-2.5280,-0.6344,A
625,-0.6838,-0.3252,A
626,-0.0836,-2.2031,A
627,-1.4630,-2.0254,A
628,-0.4380,-1.0912,A
629,-2.6186,-1.1328,A
630,-0.5817,-1.3679,A
631,-1.7848,0.1146,A
632,-0.8599,-1.0661,A
633,0.0352,-1.6793,A
634,-1.1497,-0.8084,A
635,-0.2731,-1.6008,A
636,-0.6294,0.6989,A
637,-0.9803,-1.4961,A
638,-1.1865,-1.7746,A
639,-0.3834,-1.1569,A
640,-1.8834,-0.8748,A
641,-1.8072,-0.1730,A
642,-1.2327,-0.8731,A
643,-2.8932,-0.3707,A
644,-0.4129,-1.1705,A
645,-1.5907,-1.1073,A
646,-1.5772,-2.0677,A
647,-1.6256,-0.8187,A
648,-1.1066,-0.4431,A
649,-1.6606,-1.2064,A
650,-0.7291,-1.1074,A
651,-0.2797,-1.2694,A
652,-1.0252,0.5901,A
653,-1.0729,-0.5681,A
654,-0.8995,-1.2318,A
655,-0.1269,-0.5702,A
656,-0.1546,-0.5579,A
657,-0.7978,-2.2428,A
658,-0.3954,-1.3280,A
659,-0.2384,0.7659,A
660,-0.8945,-0.5475,A
661,-1.1292,-1.6499,A
662,-1.6808,-1.3959,A
663,-0.0838,-1.1483,A
664,-0.5564,-0.6857,A
665,-0.6574,0.4310,A
666,-1.0716,-0.8194,A
667,-0.5952,-0.8944,A
668,-0.3487,-1.4082,A
669,-1.4413,-0.9594,A
670,-1.8839,0.1811,A
671,-0.7060,-1.6863,A
672,0.4910,-0.7479,A
673,-0.3385,-1.8219,A
674,-1.0011,-1.6196,A
675,-1.3739,-1.7366,A
676,-0.7875,-0.7649,A
677,-1.4190,-0.7482,A
678,0.1932,-1.4132,A
679,-1.2976,-0.7784,A
680,-1.2140,-2.5245,A
681,-1.8655,-1.5968,A
682,-1.8844,-1.3474,A
683,-0.9448,-0.1446,A
684,-2.0867,0.1076,A
685,-1.2644,-0.5265,A
686,-1.4454,-0.2855,A
687,-0.6549,-1.4170,A
688,-1.0883,-1.8274,A
689,-1.2864,-1.8322,A
690,-2.4954,-1.2945,A
691,-0.6342,-1.3267,A
692,-0.8731,-1.1105,A
693,-0.3304,-1.3174,A
694,-0.3034,-0.7118,A
695,0.0557,-1.4520,A
696,-1.6563,-1.1121,A
697,-0.7786,-1.2971,A
698,-1.2856,-0.8616,A
699,-0.4004,-1.8535,A
700,-0.1434,0.2651,A
701,-1.4084,-1.4000,A
702,-0.6616,-0.4548,A
703,-0.7784,-0.2121,A
704,-1.1625,-1.0416,A
705,-2.0459,-1.2394,A
706,-0.5630,0.2056,A
707,-0.7303,-1.6275,A
708,-1.3653,-0.4312,A
709,-1.0939,-2.6102,A
710,-1.6632,1.0547,A
711,-1.9838,-0.0338,A
712,0.9504,-2.3739,A
713,-0.4414,-0.2644,A
714,-1.0846,-1.2952,A
715,-0.7377,-0.2922,A
716,-2.2413,-1.8004,A
717,-0.4218,-0.4200,A
718,-1.0052,-1.0427,A
719,-0.7250,-0.2487,A
720,-0.6513,-2.5577,A
721,-1.7177,-1.7073,A
722,-0.6931,-1.4582,A
723,-0.1066,-1.7527,A
724,-1.0971,-0.9572,A
725,-1.6752,-0.5306,A
726,0.1166,-1.5860,A
727,-0.6030,-0.7962,A
728,-0.3005,0.0873,A
729,-0.6712,-1.3143,A
730,-1.2511,-1.6798,A
731,-0.5785,-2.1363,A
732,0.2351,-1.4581,A
733,-1.6864,-0.9077,A
734,-1.5858,-2.7447,A
735,0.4091,-2.0669,A
736,-1.1152,-1.2447,A
737,-0.9829,-0.6579,A
738,-1.1122,-0.4774,A
739,-1.2378,-0.9219,A
740,-0.3207,-0.4681,A
741,-1.0416,-1.3822,A
742,-1.8499,-1.1105,A
743,0.9197,-0.4089,A
744,-1.5506,-0.7193,A
745,-1.4588,-0.7093,A
746,0.5446,-2.1149,A
747,0.0339,-2.1914,A
748,-0.1919,-1.5104,A
749,0.0175,-1.7986,A
750,-0.2254,-2.2086,A
751,-0.2527,-1.1788,A
752,-1.2775,-0.4074,A
753,-0.8908,-1.0858,A
754,-1.1271,-1.1096,A
755,-2.3010,-1.9903,A
756,-0.6217,0.3291,A
757,0.1597,-1.0554,A
758,0.3915,0.1086,A
759,-1.1848,-0.5111,A
760,-1.0555,-0.4788,A
761,-1.5929,-0.2415,A
762,-1.1095,-1.7178,A
763,-1.8327,-1.7497,A
764,-2.1252,-1.2812,A
765,-2.2074,-1.7262,A
766,0.2770,-0.4099,A
767,-1.1958,-1.8887,A
768,-0.7707,-2.0754,A
769,0.2182,-1.2395,A
770,-0.3698,-1.2392,A
771,-1.4823,-1.5267,A
772,-0.0399,-0.6508,A
773,0.0067,0.0474,A
774,-1.7865,-0.9912,A
775,-0.8925,-0.7061,A
776,-2.1325,-1.5543,A
777,-0.2772,-1.1240,A
778,-1.5685,-1.4042,A
779,-1.2642,-1.7546,A
780,-1.2586,-0.0968,A
781,-0.4346,-1.3175,A
782,-1.6100,-0.1905,A
783,-1.4002,-0.0820,A
784,-1.2275,-0.3594,A
785,-1.2189,-0.0876,A
786,-0.2472,-0.0054,A
787,-1.0116,-1.6384,A
788,-1.1896,0.2989,A
789,-1.4431,-1.1419,A
790,-0.7277,-0.6736,A
791,-0.3081,-1.3724,A
792,-0.9486,-1.2346,A
793,-2.7749,-0.3279,A
794,-0.2681,0.1854,A
795,-0.7987,-0.7783,A
796,-0.4216,-0.1074,A
797,-1.3574,-0.7020,A
798,-0.4220,-1.2890,A
799,-1.2370,-2.2073,A
800,-0.5599,-0.8718,A
801,-1.4736,-0.7877,A
802,-0.2314,-0.5520,A
803,-1.1130,-1.5425,A
804,-1.1149,-0.6634,A
805,-0.0623,-0.9451,A
806,-1.6471,-0.9784,A
807,-1.0234,-0.0876,A
808,-1.3994,-1.0476,A
809,-0.9764,-0.9389,A
810,-1.3222,-0.9839,A
811,-0.6479,-0.9485,A
812,-1.5116,-0.5314,A
813,-1.0773,0.4048,A
814,0.0936,-0.4835,A
815,-2.6184,-1.8548,A
816,0.0695,-1.1770,A
817,-0.5721,-0.1492,A
818,-1.3873,0.2808,A
819,-1.0062,-1.0427,A
820,-1.4894,-2.2211,A
821,-2.1770,-1.1639,A
822,-1.0675,-1.6491,A
823,-1.3192,-0.5526,A
824,-0.9593,-1.2457,A
825,-1.9815,-2.0870,A
826,-1.8651,-1.5062,A
827,-1.1015,-2.6646,A
828,-0.3113,-2.3379,A
829,-1.0920,-0.7967,A
830,-1.1979,-0.9390,A
831,-0.6409,-0.8713,A
832,-2.2483,-0.9648,A
833,-0.6246,-0.6777,A
834,-0.6295,-1.4666,A
835,-0.5605,-1.4859,A
836,-2.3870,-0.2548,A
837,-1.1990,-0.9309,A
838,-1.5706,-0.7684,A
839,-1.0561,-1.2289,A
840,-1.9487,-1.2001,A
841,-1.0793,-1.2740,A
842,-0.7805,-0.0994,A
843,-1.8946,-0.9004,A
844,-2.5035,-0.8268,A
845,-1.2181,-0.0849,A
846,-0.8045,-0.2249,A
847,0.7449,-1.6040,A
848,0.5920,-0.3183,A
849,-0.9949,-2.1606,A
850,-1.7315,-1.5260,A
851,-1.3893,-0.5085,A
852,-0.6071,-2.3667,A
853,-0.6891,-1.5176,A
854,-0.8806,-0.4771,A
855,-0.7702,-2.4483,A
856,-1.3910,-0.7545,A
857,-2.0962,-0.7665,A
858,-0.8596,-1.4564,A
859,-1.4908,-1.2050,A
860,-2.1842,-2.1944,A
861,-0.1886,-1.8195,A
862,-0.8996,-0.8309,A
863,-1.7255,-0.6622,A
864,-0.7942,-1.5413,A
865,-2.0769,0.8190,A
866,-1.6415,-0.8529,A
867,-1.7049,-0.8675,A
868,-0.5211,-2.0953,A
869,0.0287,-0.8853,A
870,-1.3045,-0.5150,A
871,-0.0889,-1.2600,A
872,-1.4339,-1.2418,A
873,-1.6084,-1.8627,A
874,-0.5645,-0.7679,A
875,0.6735,-1.5070,A
876,-2.0873,-0.4647,A
877,-2.2492,-1.1833,A
878,-0.0554,-1.2944,A
879,-0.3511,-1.3550,A
880,-1.0109,-1.0704,A
881,-0.3655,1.0332,A
