Id,X,Y,Group,Weight
136,-1.2286,-0.5065,Main,0.622
137,-0.2288,-0.1012,Main,0.023
138,-0.6519,0.2614,Main,0.170
139,0.1667,-0.9922,Main,0.165
140,-1.0676,-0.8916,Main,0.952
141,-0.8819,0.5236,Main,0.462
142,0.2173,-0.0751,Main,0.016
143,0.7252,0.7243,Main,0.525
144,0.7952,0.9933,Main,0.790
145,0.8067,1.1801,Main,0.952
146,0.0179,0.4808,Main,0.009
147,-0.1618,-1.2833,Main,0.208
148,-0.1428,-1.3379,Main,0.191
149,0.8288,-0.6502,Main,0.539
150,-0.8344,0.3156,Main,0.263
151,0.0179,0.6009,Main,0.011
152,-0.5136,1.6573,Main,0.851
153,1.5111,2.0708,Main,3.129
154,1.7683,1.0974,Main,1.940
155,0.3564,-0.4894,Main,0.174
156,-0.0110,-0.0936,Main,0.001
157,1.0794,1.7047,Main,1.840
158,-1.3094,0.0728,Main,0.095
159,1.2353,-2.1764,Main,2.688
160,-0.4915,-0.0058,Main,0.003
161,0.8101,-0.4687,Main,0.380
162,-0.0967,1.6915,Main,0.164
163,-0.3099,1.7075,Main,0.529
164,0.0932,1.6348,Main,0.152
165,0.0740,-0.3388,Main,0.025
166,-1.0093,-0.0827,Main,0.083
167,-0.4641,-0.2412,Main,0.112
168,-0.1487,-0.0147,Main,0.002
169,-0.9786,0.7461,Main,0.730
170,-0.8766,0.1840,Main,0.161
171,-0.9650,0.4832,Main,0.466
172,-0.2464,0.2975,Main,0.073
173,-0.0103,0.6023,Main,0.006
174,0.8424,0.5865,Main,0.494
175,0.1336,-0.3351,Main,0.045
176,0.2086,0.7051,Main,0.147
177,-1.4014,-1.3867,Main,1.943
178,0.6332,-1.1206,Main,0.710
179,-1.5352,0.4482,Main,0.688
180,0.3734,1.9171,Main,0.716
181,-1.6229,-0.0366,Main,0.059
182,-1.2789,0.8596,Main,1.099
183,0.9086,0.4209,Main,0.382
184,-1.6507,-0.2222,Main,0.367
185,-1.0878,-1.4144,Main,1.539
186,-0.7904,-1.4911,Main,1.179
187,1.0309,0.8183,Main,0.844
188,0.4296,0.2824,Main,0.121
189,-0.4842,0.7923,Main,0.384
190,-2.4725,-1.9781,Main,4.891
191,-0.1092,0.8704,Main,0.095
192,0.9307,-1.0919,Main,1.016
193,-0.2643,-0.3348,Main,0.088
194,-0.2823,1.4129,Main,0.399
195,1.2455,0.7050,Main,0.878
196,-1.4277,1.6613,Main,2.372
197,0.5939,-0.7810,Main,0.464
198,-1.1650,1.0982,Main,1.279
199,0.1467,1.4691,Main,0.215
200,0.7501,-0.1909,Main,0.143
201,-0.5391,0.6769,Main,0.365
202,-0.5075,-0.6182,Main,0.314
203,1.4599,-0.4780,Main,0.698
204,1.0151,0.8220,Main,0.834
205,-0.1978,1.0576,Main,0.209
206,-0.3720,-1.1822,Main,0.440
207,-1.3628,-0.2394,Main,0.326
208,0.5591,0.4599,Main,0.257
209,0.5565,-0.4214,Main,0.235
210,1.3035,1.3945,Main,1.818
211,-0.1203,0.5766,Main,0.069
212,0.2646,-1.2709,Main,0.336
213,-0.2057,1.5173,Main,0.312
214,1.0734,1.5145,Main,1.626
215,-1.8514,0.6779,Main,1.255
216,-0.1274,-0.5856,Main,0.075
217,-0.3221,0.1122,Main,0.036
218,-0.8873,-0.5726,Main,0.508
219,-0.8570,2.5471,Main,2.183
220,0.5275,-0.8972,Main,0.473
221,0.5542,-0.5728,Main,0.317
222,-0.2140,0.9727,Main,0.208
223,-0.2457,0.3409,Main,0.084
224,0.7975,1.6549,Main,1.320
225,-1.9073,1.4260,Main,2.720
226,0.8926,2.0254,Main,1.808
227,1.0610,1.1568,Main,1.227
228,-0.8938,-0.0656,Main,0.059
229,0.1889,-0.0752,Main,0.014
230,0.4065,-1.7567,Main,0.714
231,-0.5863,0.2810,Main,0.165
232,1.5659,0.5284,Main,0.827
233,0.7876,-0.0976,Main,0.077
234,-0.9025,-1.7194,Main,1.552
235,-2.6222,1.8218,Main,4.777
236,0.7740,-0.3053,Main,0.236
237,0.4285,-0.4212,Main,0.180
238,-0.5649,-0.4955,Main,0.280
239,0.1028,0.0481,Main,0.005
240,-1.0516,-1.1002,Main,1.157
241,1.1746,0.2727,Main,0.320
242,0.8346,0.8882,Main,0.741
243,1.5067,-1.0731,Main,1.617
244,0.5886,-1.3279,Main,0.782
245,-1.1110,-0.1403,Main,0.156
246,-2.7928,0.3982,Main,1.112
247,0.7153,-0.2038,Main,0.146
248,0.2113,-0.3042,Main,0.064
249,0.3900,1.3083,Main,0.510
250,-0.4107,-1.0256,Main,0.421
251,1.9794,-0.6268,Main,1.241
252,1.5473,-1.1732,Main,1.815
253,-0.1379,-0.0524,Main,0.007
254,1.4102,0.5252,Main,0.741
255,-0.8251,0.1353,Main,0.112
256,0.2499,0.4792,Main,0.120
257,-0.2514,0.7335,Main,0.184
258,0.0396,-1.5303,Main,0.061
259,0.5376,1.1118,Main,0.598
260,-0.1869,1.5092,Main,0.282
261,-0.6373,-1.0094,Main,0.643
262,0.8377,0.7818,Main,0.655
263,-0.3429,0.3744,Main,0.128
264,-0.8072,0.3443,Main,0.278
265,0.2318,1.7318,Main,0.402
266,-1.3115,0.8775,Main,1.151
267,0.1742,-2.1027,Main,0.366
268,-1.4194,1.2972,Main,1.841
269,1.2943,0.7894,Main,1.022
270,-0.4827,0.8110,Main,0.391
271,-0.9972,0.0107,Main,0.011
272,-0.7830,-0.0227,Main,0.018
273,1.2242,0.0835,Main,0.102
274,1.8718,-0.6609,Main,1.237
275,-0.7598,-0.5148,Main,0.391
276,0.6470,-0.1362,Main,0.088
277,1.0972,-0.8977,Main,0.985
278,1.1446,-0.1846,Main,0.211
279,1.5894,-3.5907,Main,5.707
280,-0.4877,1.4643,Main,0.714
281,0.8104,0.8387,Main,0.680
282,0.3495,0.4352,Main,0.152
283,0.1027,0.6076,Main,0.062
284,1.9635,1.2636,Main,2.481
285,1.4360,-0.1124,Main,0.161
286,1.2821,1.5589,Main,1.999
287,0.8335,-0.3155,Main,0.263
288,0.6993,0.0511,Main,0.036
289,-1.8302,1.2537,Main,2.294
290,-1.1940,0.4936,Main,0.589
291,-0.0977,0.3998,Main,0.039
292,-0.7881,-0.6104,Main,0.481
293,1.4171,-0.1856,Main,0.263
294,-0.6784,1.2513,Main,0.849
295,-2.2783,-1.1281,Main,2.570
296,-1.2535,1.4765,Main,1.851
297,0.4101,-1.4804,Main,0.607
298,-0.6447,0.3007,Main,0.194
299,-0.6820,0.2004,Main,0.137
300,-0.0400,1.0765,Main,0.043
301,-0.2222,-0.5384,Main,0.120
302,0.0263,1.1203,Main,0.029
303,-1.3937,0.7560,Main,1.054
304,0.9106,1.0812,Main,0.985
305,-0.5189,0.1050,Main,0.054
306,-0.4633,2.2808,Main,1.057
307,0.5739,0.1185,Main,0.068
308,0.4392,1.3482,Main,0.592
309,-0.2764,-0.6548,Main,0.181
310,0.5469,1.9558,Main,1.070
311,0.6770,-0.2858,Main,0.193
312,0.3451,0.3239,Main,0.112
313,0.7449,0.4046,Main,0.301
314,-0.1700,1.0578,Main,0.180
315,0.7651,0.8139,Main,0.623
316,0.1633,-0.0219,Main,0.004
317,-0.1981,-0.8079,Main,0.160
318,-0.4728,1.1703,Main,0.553
319,-1.0564,-0.5165,Main,0.546
320,2.0948,0.8643,Main,1.811
321,-1.5592,0.1183,Main,0.184
322,1.1640,1.1697,Main,1.361
323,-0.3189,0.1936,Main,0.062
324,-2.0870,-0.6553,Main,1.368
325,-0.2569,-0.6853,Main,0.176
326,-0.3975,-1.0477,Main,0.416
327,0.4117,0.1009,Main,0.042
328,0.3764,-1.6996,Main,0.640
329,0.6171,-0.7707,Main,0.476
330,1.7108,0.9933,Main,1.699
331,-1.6295,-0.5513,Main,0.898
332,-0.9032,0.3245,Main,0.293
333,0.4478,-0.1639,Main,0.073
334,0.4294,-1.9033,Main,0.817
335,1.0302,-0.3964,Main,0.408
336,0.8207,-0.1146,Main,0.094
337,-0.9105,-0.4198,Main,0.382
338,-0.3714,0.3303,Main,0.123
339,0.2990,-1.5652,Main,0.468
340,1.1193,0.0230,Main,0.026
341,-2.1386,0.1465,Main,0.313
342,1.3523,-0.5371,Main,0.726
343,0.9698,0.0089,Main,0.009
344,1.5135,-0.7199,Main,1.090
345,1.7412,0.7799,Main,1.358
346,0.1514,-1.0060,Main,0.152
347,0.8172,0.4334,Main,0.354
348,-0.2164,-1.5851,Main,0.343
349,-0.2352,-0.2399,Main,0.056
350,0.7909,-2.2054,Main,1.744
351,0.5553,0.6129,Main,0.340
352,-0.5107,-0.8570,Main,0.438
353,-0.2244,1.0578,Main,0.237
354,1.4137,0.5327,Main,0.753
355,-0.2697,-1.3289,Main,0.358
356,0.1832,-0.4142,Main,0.076
357,-1.7672,0.3977,Main,0.703
358,-0.6025,1.5471,Main,0.932
359,-0.1207,2.0787,Main,0.251
360,0.2563,-0.2906,Main,0.074
361,0.8582,0.1144,Main,0.098
362,-0.5053,-0.0199,Main,0.010
363,0.0689,0.1515,Main,0.010
364,-1.5718,-0.3770,Main,0.593
365,0.7081,-1.9868,Main,1.407
366,1.6877,-0.2423,Main,0.409
367,-0.0256,-1.1127,Main,0.028
368,0.4993,-0.5273,Main,0.263
369,-0.1964,0.7274,Main,0.143
370,-1.6207,0.3809,Main,0.617
371,0.9781,0.6634,Main,0.649
372,-0.3147,0.9462,Main,0.298
373,0.3421,-1.2674,Main,0.434
374,0.4040,0.8471,Main,0.342
375,1.0256,1.5747,Main,1.615
376,1.3846,0.2486,Main,0.344
377,-1.2691,-1.2765,Main,1.620
378,0.3669,-1.0722,Main,0.393
379,0.1662,2.2930,Main,0.381
380,-0.7177,-1.4777,Main,1.061
381,0.4677,1.1033,Main,0.516
382,-1.0878,-1.2542,Main,1.364
383,1.5668,-0.3778,Main,0.592
384,-0.8357,2.4715,Main,2.065
385,-0.4936,-1.1835,Main,0.584
386,-0.9405,-0.6388,Main,0.601
387,-0.7004,1.7950,Main,1.257
388,1.0068,0.4402,Main,0.443
389,-0.9888,1.0022,Main,0.991
390,-0.0996,-0.1305,Main,0.013
391,1.6842,-1.1886,Main,2.002
392,0.6889,-1.8537,Main,1.277
393,0.7764,-1.2414,Main,0.964
394,-0.6017,0.8395,Main,0.505
395,0.7022,-0.3170,Main,0.223
396,-1.5491,0.7179,Main,1.112
397,-2.0978,0.5366,Main,1.126
398,0.7649,1.0348,Main,0.792
399,0.6971,1.5577,Main,1.086
400,0.3144,-0.9112,Main,0.286
401,0.7348,0.6508,Main,0.478
402,-0.1611,-0.5094,Main,0.082
403,-0.1104,1.2775,Main,0.141
404,-0.0725,0.9891,Main,0.072
405,-0.2181,-0.0251,Main,0.005
406,-0.2120,0.0760,Main,0.016
407,0.9597,0.6887,Main,0.661
408,2.1328,-0.9090,Main,1.939
409,-0.5173,1.4347,Main,0.742
410,-0.0682,2.5355,Main,0.173
411,-1.1561,0.4266,Main,0.493
412,0.9548,-0.8420,Main,0.804
413,0.1426,-1.4997,Main,0.214
414,-0.4542,-0.6208,Main,0.282
415,-0.0563,-0.1021,Main,0.006
416,0.4191,0.1471,Main,0.062
417,-1.6197,0.8728,Main,1.414
418,-0.7462,1.6132,Main,1.204
419,1.0770,0.7102,Main,0.765
420,-0.9852,1.1930,Main,1.175
421,0.0710,-0.3098,Main,0.022
422,-0.9742,0.7723,Main,0.752
423,-1.8986,-0.2469,Main,0.469
424,0.5390,0.9946,Main,0.536
425,0.1302,-1.1108,Main,0.145
426,0.4967,1.2930,Main,0.642
427,1.0749,-0.4609,Main,0.495
428,0.4977,-0.0929,Main,0.046
429,-0.0390,1.0216,Main,0.040
430,1.4380,-0.5103,Main,0.734
431,-0.4097,-0.7299,Main,0.299
432,0.1545,1.8140,Main,0.280
433,1.2008,-0.1447,Main,0.174
434,-0.9221,1.5108,Main,1.393
435,1.2439,1.5628,Main,1.944
436,-0.4836,0.1132,Main,0.055
437,0.9451,0.6756,Main,0.638
438,0.5877,0.8788,Main,0.517
439,-0.1270,0.9217,Main,0.117
440,0.0781,0.0153,Main,0.001
441,-1.0340,1.0531,Main,1.089
442,0.3234,-0.1920,Main,0.062
443,-1.1904,-0.9939,Main,1.183
444,-1.5400,-0.3732,Main,0.575
445,0.0655,-1.2894,Main,0.084
446,0.2533,-1.3227,Main,0.335
447,2.3963,-2.6294,Main,6.301
448,1.9603,0.2594,Main,0.508
449,-1.1698,-0.0460,Main,0.054
450,2.1131,0.1878,Main,0.397
451,0.1711,0.5783,Main,0.099
452,-0.8032,-0.7436,Main,0.597
453,-0.6742,-1.0252,Main,0.691
454,-1.0633,0.3507,Main,0.373
455,1.1410,0.0078,Main,0.009
456,0.8508,-0.9902,Main,0.842
457,1.9713,-0.4967,Main,0.979
458,-2.1064,0.2003,Main,0.422
459,0.8177,-0.6741,Main,0.551
460,-0.5836,1.1495,Main,0.671
461,0.2853,-0.2512,Main,0.072
462,-0.9287,0.0162,Main,0.015
463,-1.3250,0.6259,Main,0.829
464,0.6273,-1.3912,Main,0.873
465,0.0926,-0.9107,Main,0.084
466,0.6094,-1.9104,Main,1.164
467,-0.4029,1.1366,Main,0.458
468,0.9168,-0.5729,Main,0.525
469,-0.2045,0.9089,Main,0.186
470,1.2643,0.3461,Main,0.438
471,0.6770,-0.2809,Main,0.190
472,2.2951,0.2700,Main,0.620
473,0.7287,-1.4797,Main,1.078
474,-0.9388,1.8530,Main,1.740
475,-0.9720,0.4404,Main,0.428
476,-0.1111,0.7066,Main,0.079
477,-0.2214,0.4802,Main,0.106
478,1.2847,0.4108,Main,0.528
479,0.6357,0.2320,Main,0.147
480,-0.1569,-1.1234,Main,0.176
481,-0.7199,0.3879,Main,0.279
482,1.0027,-0.6435,Main,0.645
483,0.0877,-1.5702,Main,0.138
484,0.2579,0.6627,Main,0.171
485,-0.0099,-0.8265,Main,0.008
486,-1.5092,-0.2676,Main,0.404
487,0.9272,1.4555,Main,1.350
488,-0.1035,-0.8738,Main,0.090
489,-1.4270,0.6650,Main,0.949
490,1.1179,-0.2849,Main,0.319
491,1.8717,0.5805,Main,1.087
492,0.1714,-0.1338,Main,0.023
493,-0.8262,0.0366,Main,0.030
494,-1.5660,-1.1345,Main,1.777
495,-1.9225,-0.4790,Main,0.921
496,-0.0930,-0.0070,Main,0.001
497,0.5273,-1.3606,Main,0.717
498,-0.4780,-0.1367,Main,0.065
499,0.6471,1.7891,Main,1.158
500,0.0679,1.1061,Main,0.075
501,-1.9687,0.8749,Main,1.722
502,-0.3233,-1.9638,Main,0.635
503,1.3593,1.3927,Main,1.893
504,-0.6910,-1.5163,Main,1.048
505,0.7698,1.4647,Main,1.127
506,2.5637,1.1880,Main,3.046
507,-1.2053,-0.1324,Main,0.160
508,1.7114,1.8126,Main,3.102
509,-0.7743,-0.3345,Main,0.259
510,-0.9973,-0.2867,Main,0.286
511,-1.0254,-0.5852,Main,0.600
512,-0.2866,-0.9993,Main,0.286
513,-0.9678,-0.1158,Main,0.112
514,-1.1219,1.0073,Main,1.130
515,1.2811,0.5083,Main,0.651
516,-0.5340,0.5124,Main,0.274
517,0.2063,0.4562,Main,0.094
518,0.4764,2.7544,Main,1.312
519,-0.7022,-0.3147,Main,0.221
520,-0.6367,-0.7412,Main,0.472
521,-0.9338,1.9883,Main,1.857
522,0.6528,-0.9727,Main,0.635
523,0.3725,1.2602,Main,0.469
524,-1.8832,-0.1780,Main,0.335
525,-0.2675,-0.0038,Main,0.001
526,0.0454,-0.0458,Main,0.002
527,1.7818,1.2289,Main,2.190
528,-0.3008,-0.8844,Main,0.266
529,0.6056,1.1229,Main,0.680
530,0.1899,0.5921,Main,0.112
531,1.4332,-0.1651,Main,0.237
532,0.3985,-1.8044,Main,0.719
533,-0.1036,-0.9256,Main,0.096
534,-0.1348,-0.7595,Main,0.102
535,0.4472,-0.8052,Main,0.360
536,1.6508,0.0437,Main,0.072
537,0.7067,0.3136,Main,0.222
538,0.4276,0.0930,Main,0.040
539,-0.1145,1.8252,Main,0.209
540,1.1437,-0.2545,Main,0.291
541,0.5972,0.8251,Main,0.493
542,1.3303,-0.4239,Main,0.564
543,1.6221,1.3000,Main,2.109
544,-0.9811,-0.8520,Main,0.836
545,0.4737,-1.8852,Main,0.893
546,-0.2183,0.8398,Main,0.183
547,-0.0928,-0.0347,Main,0.003
548,1.6652,0.9818,Main,1.635
549,0.6958,-0.5579,Main,0.388
550,0.1071,-0.8544,Main,0.091
551,2.0066,2.7286,Main,5.475
552,-0.5606,-0.3321,Main,0.186
553,1.1088,-0.5807,Main,0.644
554,-0.1141,0.9193,Main,0.105
555,2.3546,-1.0693,Main,2.518
556,1.0226,-0.9851,Main,1.007
557,0.2356,-2.0403,Main,0.481
558,0.3024,0.7888,Main,0.239
559,-0.8225,-0.2470,Main,0.203
560,-0.5386,-1.6465,Main,0.887
561,1.8176,-0.1885,Main,0.343
562,1.8680,-0.8867,Main,1.656
563,-1.1941,0.2282,Main,0.273
564,-0.4468,0.4163,Main,0.186
565,0.4009,0.7667,Main,0.307
566,-1.8634,0.8360,Main,1.558
567,-0.8612,-0.2266,Main,0.195
568,0.4301,2.1915,Main,0.943
569,-0.0683,-2.3400,Main,0.160
570,0.3985,1.5371,Main,0.613
571,-0.3874,0.4370,Main,0.169
572,1.3849,1.7319,Main,2.398
573,0.9138,1.0435,Main,0.954
574,-0.6550,-0.3012,Main,0.197
575,1.9844,-0.5806,Main,1.152
576,0.1938,-0.1307,Main,0.025
577,-1.1564,0.3239,Main,0.375
578,-1.1082,-0.7432,Main,0.824
579,-0.1534,-0.0288,Main,0.004
580,-0.6295,0.4400,Main,0.277
581,-1.6205,-0.8870,Main,1.437
582,-0.8294,-0.1828,Main,0.152
583,-0.3688,0.7493,Main,0.276
584,1.1077,-0.0876,Main,0.097
585,-0.6004,0.0081,Main,0.005
586,0.6201,1.3341,Main,0.827
587,-0.4307,2.4230,Main,1.043
588,0.7577,1.3021,Main,0.987
589,0.9889,-0.3084,Main,0.305
590,0.7831,-1.0244,Main,0.802
591,-1.0103,1.6352,Main,1.652
592,-2.4043,0.2975,Main,0.715
593,-0.2879,-0.3932,Main,0.113
594,0.4951,-0.8390,Main,0.415
595,-1.8345,1.2842,Main,2.356
596,-0.2991,0.6114,Main,0.183
597,0.4809,-0.0965,Main,0.046
598,0.0610,-0.0966,Main,0.006
599,0.7370,-0.0289,Main,0.021
600,0.8137,0.7293,Main,0.593
601,-0.6998,-0.1793,Main,0.125
602,-0.3271,-0.7757,Main,0.254
603,1.5454,1.9657,Main,3.038
604,-0.5561,-1.3422,Main,0.746
605,0.2140,-0.2793,Main,0.060
606,-1.3054,-1.7732,Main,2.315
607,-2.0277,0.0978,Main,0.198
608,-1.1834,-0.3445,Main,0.408
609,-2.4261,-0.5913,Main,1.435
610,-1.6354,-1.0071,Main,1.647
611,-0.3510,-0.7666,Main,0.269
612,1.1223,0.6328,Main,0.710
613,-0.3239,0.7660,Main,0.248
614,-0.0742,-2.3874,Main,0.177
615,1.5112,1.2191,Main,1.842
616,0.1536,0.4717,Main,0.072
617,1.4411,0.6421,Main,0.925
618,-0.6004,-1.5172,Main,0.911
619,-0.4550,0.6930,Main,0.315
620,1.1441,-0.7349,Main,0.841
621,-0.5876,0.5306,Main,0.312
622,-0.6335,0.8550,Main,0.542
623,2.2473,-0.1729,Main,0.389
624,-0.4500,-0.6312,Main,0.284
625,-1.7044,0.7363,Main,1.255
626,0.1471,-0.4193,Main,0.062
627,0.4347,-2.0720,Main,0.901
628,-1.7270,-0.4055,Main,0.700
629,-0.3872,1.5787,Main,0.611
630,0.2161,-0.6812,Main,0.147
631,1.0863,-0.0700,Main,0.076
632,0.3555,-0.7725,Main,0.275
633,-0.1361,1.8608,Main,0.253
634,-1.0277,-0.3584,Main,0.368
635,-1.9324,-0.6515,Main,1.259
636,-0.4642,-2.6908,Main,1.249
637,-0.1833,0.2084,Main,0.038
638,-1.1689,-0.4762,Main,0.557
639,0.2166,-2.1600,Main,0.468
640,0.7370,-0.9699,Main,0.715
641,0.0989,0.2513,Main,0.025
642,-1.5453,-0.3964,Main,0.613
643,0.4872,0.6750,Main,0.329
644,0.7149,-0.8019,Main,0.573
645,0.2076,-0.0883,Main,0.018
646,0.8714,-1.4287,Main,1.245
647,-0.0853,-0.3025,Main,0.026
648,1.2673,1.2366,Main,1.567
649,0.6694,1.7068,Main,1.143
650,-1.6621,0.3375,Main,0.561
651,0.2610,0.7907,Main,0.206
652,-0.7116,0.6315,Main,0.449
653,1.4217,0.4984,Main,0.709
654,0.4504,2.1005,Main,0.946
655,0.3418,0.1978,Main,0.068
656,0.4672,-0.7249,Main,0.339
657,0.1953,-1.4633,Main,0.286
658,-0.7322,1.1805,Main,0.864
659,1.6809,0.2805,Main,0.472
660,-1.9565,-0.1341,Main,0.262
661,1.3657,0.1968,Main,0.269
662,0.2266,0.6126,Main,0.139
663,1.0517,-0.4015,Main,0.422
664,-0.9935,-1.0634,Main,1.057
665,1.3564,-0.0241,Main,0.033
666,0.1627,0.2310,Main,0.038
667,1.2575,-1.4536,Main,1.828
668,-0.7045,0.0544,Main,0.038
669,-0.5423,0.4618,Main,0.250
670,0.9451,0.5266,Main,0.498
671,0.4752,-0.5742,Main,0.273
672,0.5670,1.3918,Main,0.789
673,-0.1340,0.9208,Main,0.123
674,-1.1586,0.7527,Main,0.872
675,-0.4825,-0.3884,Main,0.187
676,0.6012,0.1997,Main,0.120
677,-0.4113,-0.4689,Main,0.193
678,0.9165,0.1377,Main,0.126
679,1.0797,-0.6473,Main,0.699
680,-0.0793,-1.2829,Main,0.102
681,1.4576,1.1468,Main,1.672
682,0.3379,-0.0158,Main,0.005
683,-0.8768,0.1623,Main,0.142
684,-0.2788,0.6795,Main,0.189
685,-0.2754,-0.3385,Main,0.093
686,1.0863,-0.9161,Main,0.995
687,-0.1732,-0.0414,Main,0.007
688,-0.9998,0.1709,Main,0.171
689,1.9192,0.6811,Main,1.307
690,2.5906,-0.9974,Main,2.584
691,1.9626,-1.8622,Main,3.655
692,0.1013,1.2172,Main,0.123
693,1.0428,0.7145,Main,0.745
694,0.5678,-0.0516,Main,0.029
695,-0.3293,1.3044,Main,0.430
696,0.5964,0.6524,Main,0.389
697,-0.2002,-0.7521,Main,0.151
698,-1.4547,0.4448,Main,0.647
