Service,Kind,Label,Start,End
db-proxy,request,request,2024-03-10 07:17:19,2024-03-10 07:17:20
db-proxy,slow-query,slow-query,2024-03-08 13:33:13,2024-03-08 13:33:17
cdn,retry,retry,2024-03-10 08:27:21,2024-03-10 08:27:22
render,request,request,2024-03-07 02:46:02,2024-03-07 02:46:03
render,request,request,2024-03-09 01:21:11,2024-03-09 01:21:11
db-proxy,request,request,2024-03-06 14:44:38,2024-03-06 14:44:39
api-gateway,request,request,2024-03-07 04:08:53,2024-03-07 04:08:54
db-proxy,timeout,timeout,2024-03-08 16:23:23,2024-03-08 16:23:47
auth,request,request,2024-03-08 09:25:58,2024-03-08 09:25:59
billing,request,request,2024-03-09 21:26:39,2024-03-09 21:26:39
cdn,timeout,timeout,2024-03-10 00:02:28,2024-03-10 00:02:37
render,error,error,2024-03-06 01:51:21,
search,request,request,2024-03-10 20:48:05,2024-03-10 20:48:06
render,slow-query,slow-query,2024-03-06 01:51:57,2024-03-06 01:52:01
db-proxy,request,request,2024-03-07 01:38:05,2024-03-07 01:38:06
render,request,request,2024-03-06 02:43:32,2024-03-06 02:43:33
api-gateway,request,request,2024-03-10 15:49:08,2024-03-10 15:49:09
cdn,request,request,2024-03-04 02:07:32,2024-03-04 02:07:33
render,error,error,2024-03-05 17:26:38,
cdn,request,request,2024-03-07 12:26:23,2024-03-07 12:26:24
render,request,request,2024-03-10 14:46:20,2024-03-10 14:46:21
db-proxy,request,request,2024-03-09 07:48:31,2024-03-09 07:48:31
search,error,error,2024-03-04 04:38:11,
billing,request,request,2024-03-05 08:50:28,2024-03-05 08:50:29
cdn,request,request,2024-03-08 20:37:22,2024-03-08 20:37:22
search,request,request,2024-03-10 08:46:13,2024-03-10 08:46:14
db-proxy,request,request,2024-03-07 02:23:51,2024-03-07 02:23:52
api-gateway,slow-query,slow-query,2024-03-05 17:30:56,2024-03-05 17:30:59
auth,request,request,2024-03-08 06:43:35,2024-03-08 06:43:37
billing,request,request,2024-03-05 02:25:35,2024-03-05 02:25:35
search,request,request,2024-03-09 10:38:47,2024-03-09 10:38:48
render,request,request,2024-03-08 23:31:21,2024-03-08 23:31:21
db-proxy,request,request,2024-03-09 22:29:48,2024-03-09 22:29:49
billing,request,request,2024-03-08 21:08:53,2024-03-08 21:08:53
db-proxy,slow-query,slow-query,2024-03-08 14:37:46,2024-03-08 14:37:51
api-gateway,request,request,2024-03-07 00:15:09,2024-03-07 00:15:09
search,request,request,2024-03-09 14:05:35,2024-03-09 14:05:37
cdn,request,request,2024-03-06 14:03:50,2024-03-06 14:03:51
search,request,request,2024-03-08 17:59:37,2024-03-08 17:59:38
search,request,request,2024-03-10 21:26:17,2024-03-10 21:26:17
api-gateway,retry,retry,2024-03-08 14:39:09,2024-03-08 14:39:11
render,request,request,2024-03-09 12:47:33,2024-03-09 12:47:33
db-proxy,request,request,2024-03-10 01:44:38,2024-03-10 01:44:38
billing,request,request,2024-03-06 19:17:19,2024-03-06 19:17:19
billing,retry,retry,2024-03-07 00:44:30,2024-03-07 00:44:32
queue,slow-query,slow-query,2024-03-07 03:48:25,2024-03-07 03:48:29
db-proxy,slow-query,slow-query,2024-03-04 08:15:41,2024-03-04 08:15:46
api-gateway,request,request,2024-03-07 13:53:16,2024-03-07 13:53:16
billing,request,request,2024-03-06 13:18:29,2024-03-06 13:18:29
render,request,request,2024-03-09 20:36:36,2024-03-09 20:36:37
auth,request,request,2024-03-07 08:11:41,2024-03-07 08:11:41
auth,timeout,timeout,2024-03-05 14:58:03,2024-03-05 14:58:28
queue,request,request,2024-03-09 08:42:22,2024-03-09 08:42:22
api-gateway,error,error,2024-03-07 14:24:57,
billing,request,request,2024-03-05 03:32:59,2024-03-05 03:32:59
db-proxy,request,request,2024-03-08 12:50:51,2024-03-08 12:50:51
api-gateway,request,request,2024-03-05 05:38:19,2024-03-05 05:38:20
queue,timeout,timeout,2024-03-08 23:15:40,2024-03-08 23:15:51
render,slow-query,slow-query,2024-03-04 19:12:10,2024-03-04 19:12:18
cdn,request,request,2024-03-10 09:11:20,2024-03-10 09:11:21
billing,request,request,2024-03-09 20:57:02,2024-03-09 20:57:03
render,request,request,2024-03-09 22:25:33,2024-03-09 22:25:34
search,error,error,2024-03-10 12:37:51,
queue,request,request,2024-03-06 01:03:41,2024-03-06 01:03:42
api-gateway,retry,retry,2024-03-06 09:30:45,2024-03-06 09:30:47
api-gateway,request,request,2024-03-07 19:10:48,2024-03-07 19:10:48
cdn,request,request,2024-03-10 16:44:49,2024-03-10 16:44:49
cdn,retry,retry,2024-03-06 22:17:21,2024-03-06 22:17:21
cdn,retry,retry,2024-03-08 06:50:01,2024-03-08 06:50:03
render,slow-query,slow-query,2024-03-10 02:18:31,2024-03-10 02:18:37
db-proxy,request,request,2024-03-09 17:01:07,2024-03-09 17:01:08
render,request,request,2024-03-05 01:35:41,2024-03-05 01:35:42
search,request,request,2024-03-09 09:17:41,2024-03-09 09:17:43
render,request,request,2024-03-08 18:30:46,2024-03-08 18:30:47
api-gateway,error,error,2024-03-09 20:27:09,
db-proxy,request,request,2024-03-05 09:18:36,2024-03-05 09:18:36
db-proxy,request,request,2024-03-09 03:09:37,2024-03-09 03:09:37
cdn,retry,retry,2024-03-06 09:36:05,2024-03-06 09:36:07
render,request,request,2024-03-08 20:06:59,2024-03-08 20:07:00
render,request,request,2024-03-05 14:44:34,2024-03-05 14:44:35
api-gateway,request,request,2024-03-09 12:27:19,2024-03-09 12:27:20
render,slow-query,slow-query,2024-03-09 12:47:22,2024-03-09 12:47:24
queue,request,request,2024-03-06 09:56:55,2024-03-06 09:56:56
api-gateway,request,request,2024-03-05 15:17:10,2024-03-05 15:17:11
cdn,error,error,2024-03-10 12:00:13,
billing,request,request,2024-03-08 19:12:16,2024-03-08 19:12:16
queue,request,request,2024-03-04 09:11:40,2024-03-04 09:11:40
billing,request,request,2024-03-05 11:53:47,2024-03-05 11:53:47
cdn,retry,retry,2024-03-05 23:38:45,2024-03-05 23:38:46
queue,slow-query,slow-query,2024-03-06 19:29:46,2024-03-06 19:29:53
billing,request,request,2024-03-10 12:00:24,2024-03-10 12:00:25
db-proxy,request,request,2024-03-06 07:03:50,2024-03-06 07:03:50
render,request,request,2024-03-05 12:03:36,2024-03-05 12:03:37
billing,error,error,2024-03-06 15:13:58,
cdn,request,request,2024-03-09 06:54:05,2024-03-09 06:54:06
search,request,request,2024-03-09 11:57:31,2024-03-09 11:57:32
api-gateway,request,request,2024-03-04 05:24:45,2024-03-04 05:24:46
db-proxy,retry,retry,2024-03-10 07:14:40,2024-03-10 07:14:41
queue,request,request,2024-03-04 10:31:32,2024-03-04 10:31:33
db-proxy,slow-query,slow-query,2024-03-09 19:50:37,2024-03-09 19:50:45
queue,request,request,2024-03-07 11:17:38,2024-03-07 11:17:39
api-gateway,error,error,2024-03-08 05:33:01,
render,request,request,2024-03-09 12:53:50,2024-03-09 12:53:50
render,slow-query,slow-query,2024-03-08 20:38:05,2024-03-08 20:38:07
db-proxy,request,request,2024-03-05 12:48:11,2024-03-05 12:48:12
db-proxy,request,request,2024-03-09 17:35:48,2024-03-09 17:35:48
auth,retry,retry,2024-03-05 18:46:42,2024-03-05 18:46:43
search,slow-query,slow-query,2024-03-10 12:02:20,2024-03-10 12:02:26
queue,request,request,2024-03-08 13:45:19,2024-03-08 13:45:20
render,request,request,2024-03-07 23:40:07,2024-03-07 23:40:08
render,slow-query,slow-query,2024-03-07 17:56:19,2024-03-07 17:56:23
render,timeout,timeout,2024-03-08 01:34:37,2024-03-08 01:35:04
db-proxy,retry,retry,2024-03-04 06:31:11,2024-03-04 06:31:13
search,request,request,2024-03-07 12:22:59,2024-03-07 12:23:00
render,error,error,2024-03-06 11:57:17,
queue,request,request,2024-03-06 00:43:19,2024-03-06 00:43:19
cdn,request,request,2024-03-07 23:42:43,2024-03-07 23:42:44
billing,request,request,2024-03-10 15:58:11,2024-03-10 15:58:12
cdn,request,request,2024-03-10 20:11:02,2024-03-10 20:11:03
cdn,request,request,2024-03-09 14:47:48,2024-03-09 14:47:48
cdn,retry,retry,2024-03-06 11:36:36,2024-03-06 11:36:37
render,request,request,2024-03-05 23:00:32,2024-03-05 23:00:32
db-proxy,error,error,2024-03-10 22:20:46,
billing,request,request,2024-03-10 06:16:40,2024-03-10 06:16:40
billing,retry,retry,2024-03-07 14:01:52,2024-03-07 14:01:53
queue,retry,retry,2024-03-05 12:24:51,2024-03-05 12:24:52
render,request,request,2024-03-06 13:11:45,2024-03-06 13:11:46
render,request,request,2024-03-05 09:28:30,2024-03-05 09:28:32
billing,request,request,2024-03-09 05:52:50,2024-03-09 05:52:50
db-proxy,slow-query,slow-query,2024-03-09 07:58:12,2024-03-09 07:58:20
db-proxy,request,request,2024-03-04 19:16:12,2024-03-04 19:16:12
billing,request,request,2024-03-04 11:57:00,2024-03-04 11:57:01
api-gateway,request,request,2024-03-10 12:05:49,2024-03-10 12:05:50
search,timeout,timeout,2024-03-10 03:31:35,2024-03-10 03:31:50
api-gateway,request,request,2024-03-10 05:09:49,2024-03-10 05:09:50
render,retry,retry,2024-03-07 17:49:59,2024-03-07 17:50:01
render,request,request,2024-03-06 07:37:27,2024-03-06 07:37:27
api-gateway,request,request,2024-03-04 00:29:56,2024-03-04 00:29:56
api-gateway,request,request,2024-03-06 16:20:52,2024-03-06 16:20:53
queue,request,request,2024-03-09 16:18:55,2024-03-09 16:18:56
billing,request,request,2024-03-10 20:02:26,2024-03-10 20:02:27
render,error,error,2024-03-07 20:18:02,
auth,request,request,2024-03-10 23:39:09,2024-03-10 23:39:10
api-gateway,slow-query,slow-query,2024-03-10 23:18:13,2024-03-10 23:18:18
billing,retry,retry,2024-03-07 03:05:53,2024-03-07 03:05:53
queue,request,request,2024-03-05 21:56:20,2024-03-05 21:56:21
auth,slow-query,slow-query,2024-03-04 04:02:00,2024-03-04 04:02:08
render,request,request,2024-03-07 00:10:24,2024-03-07 00:10:24
db-proxy,request,request,2024-03-10 02:05:05,2024-03-10 02:05:06
queue,timeout,timeout,2024-03-07 16:12:14,2024-03-07 16:12:43
cdn,slow-query,slow-query,2024-03-05 03:43:44,2024-03-05 03:43:50
search,request,request,2024-03-04 00:52:46,2024-03-04 00:52:47
render,request,request,2024-03-06 15:18:22,2024-03-06 15:18:23
cdn,request,request,2024-03-07 12:42:21,2024-03-07 12:42:22
render,timeout,timeout,2024-03-10 02:25:34,2024-03-10 02:25:56
auth,error,error,2024-03-05 13:26:27,
render,request,request,2024-03-10 10:25:39,2024-03-10 10:25:41
db-proxy,slow-query,slow-query,2024-03-08 15:01:29,2024-03-08 15:01:31
auth,request,request,2024-03-08 22:15:34,2024-03-08 22:15:35
queue,request,request,2024-03-08 18:15:03,2024-03-08 18:15:04
billing,retry,retry,2024-03-08 03:46:18,2024-03-08 03:46:20
render,timeout,timeout,2024-03-09 18:45:46,2024-03-09 18:46:06
queue,request,request,2024-03-05 02:15:55,2024-03-05 02:15:56
billing,request,request,2024-03-07 07:57:54,2024-03-07 07:57:54
render,timeout,timeout,2024-03-05 03:33:09,2024-03-05 03:33:19
billing,retry,retry,2024-03-10 08:05:57,2024-03-10 08:05:58
search,retry,retry,2024-03-04 10:21:21,2024-03-04 10:21:22
billing,error,error,2024-03-08 19:11:25,
api-gateway,request,request,2024-03-07 19:25:54,2024-03-07 19:25:55
queue,retry,retry,2024-03-06 03:51:14,2024-03-06 03:51:15
api-gateway,retry,retry,2024-03-06 18:39:46,2024-03-06 18:39:47
cdn,request,request,2024-03-04 04:38:41,2024-03-04 04:38:43
cdn,request,request,2024-03-07 10:16:34,2024-03-07 10:16:34
render,request,request,2024-03-05 09:57:23,2024-03-05 09:57:24
auth,timeout,timeout,2024-03-09 18:16:18,2024-03-09 18:16:43
auth,request,request,2024-03-06 04:43:23,2024-03-06 04:43:25
api-gateway,request,request,2024-03-10 12:10:03,2024-03-10 12:10:04
auth,request,request,2024-03-07 18:39:08,2024-03-07 18:39:08
render,request,request,2024-03-10 20:20:31,2024-03-10 20:20:32
auth,retry,retry,2024-03-09 11:44:48,2024-03-09 11:44:48
billing,request,request,2024-03-10 19:46:51,2024-03-10 19:46:52
billing,request,request,2024-03-10 01:56:07,2024-03-10 01:56:08
billing,slow-query,slow-query,2024-03-10 03:30:51,2024-03-10 03:30:56
queue,request,request,2024-03-07 18:54:49,2024-03-07 18:54:50
db-proxy,request,request,2024-03-07 06:59:44,2024-03-07 06:59:45
auth,error,error,2024-03-08 14:16:10,
billing,request,request,2024-03-06 23:57:22,2024-03-06 23:57:23
auth,retry,retry,2024-03-04 21:52:19,2024-03-04 21:52:20
queue,error,error,2024-03-10 21:04:26,
queue,retry,retry,2024-03-08 05:59:27,2024-03-08 05:59:28
render,timeout,timeout,2024-03-09 20:05:53,2024-03-09 20:06:09
auth,retry,retry,2024-03-10 00:23:49,2024-03-10 00:23:51
auth,request,request,2024-03-09 05:06:12,2024-03-09 05:06:14
search,request,request,2024-03-06 05:05:40,2024-03-06 05:05:41
api-gateway,request,request,2024-03-05 20:23:41,2024-03-05 20:23:42
search,request,request,2024-03-09 20:27:43,2024-03-09 20:27:43
db-proxy,request,request,2024-03-05 01:54:44,2024-03-05 01:54:44
api-gateway,error,error,2024-03-09 15:10:57,
render,request,request,2024-03-04 10:37:42,2024-03-04 10:37:42
db-proxy,request,request,2024-03-07 17:28:57,2024-03-07 17:28:58
db-proxy,request,request,2024-03-10 14:26:48,2024-03-10 14:26:48
auth,slow-query,slow-query,2024-03-04 15:27:25,2024-03-04 15:27:29
billing,request,request,2024-03-08 09:02:31,2024-03-08 09:02:31
billing,request,request,2024-03-04 06:40:18,2024-03-04 06:40:18
search,slow-query,slow-query,2024-03-10 15:50:41,2024-03-10 15:50:43
api-gateway,retry,retry,2024-03-05 08:54:45,2024-03-05 08:54:47
cdn,request,request,2024-03-05 05:23:33,2024-03-05 05:23:33
db-proxy,timeout,timeout,2024-03-06 02:23:49,2024-03-06 02:24:12
auth,request,request,2024-03-04 08:18:30,2024-03-04 08:18:30
billing,request,request,2024-03-09 21:07:03,2024-03-09 21:07:04
auth,request,request,2024-03-08 08:03:59,2024-03-08 08:04:00
search,slow-query,slow-query,2024-03-08 21:31:50,2024-03-08 21:31:54
auth,request,request,2024-03-04 00:10:50,2024-03-04 00:10:50
api-gateway,request,request,2024-03-05 02:58:22,2024-03-05 02:58:23
db-proxy,request,request,2024-03-06 06:05:49,2024-03-06 06:05:50
api-gateway,retry,retry,2024-03-09 04:13:16,2024-03-09 04:13:18
auth,slow-query,slow-query,2024-03-08 17:01:54,2024-03-08 17:02:00
render,request,request,2024-03-09 15:27:55,2024-03-09 15:27:56
render,request,request,2024-03-09 15:00:57,2024-03-09 15:00:58
search,request,request,2024-03-05 14:24:54,2024-03-05 14:24:55
search,request,request,2024-03-06 13:33:08,2024-03-06 13:33:09
api-gateway,retry,retry,2024-03-07 11:44:16,2024-03-07 11:44:17
auth,slow-query,slow-query,2024-03-05 11:46:40,2024-03-05 11:46:49
auth,slow-query,slow-query,2024-03-06 15:09:18,2024-03-06 15:09:21
auth,error,error,2024-03-06 19:17:57,
search,request,request,2024-03-09 10:39:05,2024-03-09 10:39:06
db-proxy,request,request,2024-03-06 08:48:26,2024-03-06 08:48:27
render,request,request,2024-03-04 17:45:33,2024-03-04 17:45:34
db-proxy,request,request,2024-03-06 18:13:24,2024-03-06 18:13:25
queue,request,request,2024-03-10 08:34:50,2024-03-10 08:34:51
auth,request,request,2024-03-10 04:08:35,2024-03-10 04:08:36
render,request,request,2024-03-08 10:53:11,2024-03-08 10:53:11
api-gateway,request,request,2024-03-08 02:57:08,2024-03-08 02:57:09
queue,request,request,2024-03-05 22:36:31,2024-03-05 22:36:31
auth,error,error,2024-03-06 04:03:24,
billing,error,error,2024-03-04 16:49:24,
auth,request,request,2024-03-08 16:45:30,2024-03-08 16:45:30
db-proxy,request,request,2024-03-09 14:36:51,2024-03-09 14:36:52
db-proxy,request,request,2024-03-08 06:21:09,2024-03-08 06:21:10
cdn,timeout,timeout,2024-03-05 09:27:49,2024-03-05 09:28:02
auth,request,request,2024-03-08 06:16:59,2024-03-08 06:17:01
render,slow-query,slow-query,2024-03-09 12:13:22,2024-03-09 12:13:29
api-gateway,error,error,2024-03-07 00:02:54,
db-proxy,error,error,2024-03-09 23:58:21,
queue,timeout,timeout,2024-03-09 19:37:51,2024-03-09 19:38:00
search,error,error,2024-03-04 07:06:04,
auth,timeout,timeout,2024-03-06 03:45:18,2024-03-06 03:45:44
search,request,request,2024-03-07 01:29:46,2024-03-07 01:29:48
queue,retry,retry,2024-03-09 22:04:09,2024-03-09 22:04:10
api-gateway,request,request,2024-03-04 06:07:02,2024-03-04 06:07:02
auth,request,request,2024-03-04 21:32:43,2024-03-04 21:32:45
cdn,timeout,timeout,2024-03-08 15:41:14,2024-03-08 15:41:22
search,request,request,2024-03-09 12:43:30,2024-03-09 12:43:31
render,request,request,2024-03-08 14:50:50,2024-03-08 14:50:51
queue,request,request,2024-03-09 16:08:54,2024-03-09 16:08:55
cdn,request,request,2024-03-08 10:10:48,2024-03-08 10:10:48
queue,request,request,2024-03-05 13:53:26,2024-03-05 13:53:27
cdn,request,request,2024-03-10 10:27:01,2024-03-10 10:27:02
api-gateway,request,request,2024-03-08 13:02:33,2024-03-08 13:02:34
billing,request,request,2024-03-06 09:51:05,2024-03-06 09:51:06
db-proxy,request,request,2024-03-10 11:11:21,2024-03-10 11:11:21
cdn,request,request,2024-03-07 23:48:41,2024-03-07 23:48:42
billing,request,request,2024-03-07 18:12:35,2024-03-07 18:12:36
auth,request,request,2024-03-04 01:44:41,2024-03-04 01:44:41
queue,request,request,2024-03-06 21:22:16,2024-03-06 21:22:16
auth,error,error,2024-03-04 22:00:31,
auth,error,error,2024-03-05 23:16:55,
queue,slow-query,slow-query,2024-03-10 17:08:34,2024-03-10 17:08:38
auth,request,request,2024-03-07 05:18:51,2024-03-07 05:18:52
api-gateway,timeout,timeout,2024-03-05 02:35:28,2024-03-05 02:35:54
db-proxy,request,request,2024-03-08 07:41:36,2024-03-08 07:41:37
cdn,retry,retry,2024-03-04 03:42:33,2024-03-04 03:42:34
queue,request,request,2024-03-04 02:18:57,2024-03-04 02:18:58
render,retry,retry,2024-03-05 00:57:10,2024-03-05 00:57:12
api-gateway,slow-query,slow-query,2024-03-09 16:12:49,2024-03-09 16:12:57
api-gateway,request,request,2024-03-10 22:39:00,2024-03-10 22:39:01
auth,request,request,2024-03-06 22:16:26,2024-03-06 22:16:26
billing,request,request,2024-03-05 09:55:28,2024-03-05 09:55:29
search,slow-query,slow-query,2024-03-06 05:03:28,2024-03-06 05:03:30
auth,request,request,2024-03-10 05:20:52,2024-03-10 05:20:53
auth,retry,retry,2024-03-04 07:44:50,2024-03-04 07:44:51
api-gateway,request,request,2024-03-08 18:42:59,2024-03-08 18:43:00
billing,error,error,2024-03-10 23:56:16,
auth,request,request,2024-03-05 03:01:14,2024-03-05 03:01:15
billing,request,request,2024-03-08 17:06:32,2024-03-08 17:06:32
search,retry,retry,2024-03-08 20:15:55,2024-03-08 20:15:56
api-gateway,request,request,2024-03-05 15:03:54,2024-03-05 15:03:55
api-gateway,request,request,2024-03-05 09:09:35,2024-03-05 09:09:36
render,timeout,timeout,2024-03-06 10:00:37,2024-03-06 10:01:03
queue,request,request,2024-03-04 19:58:11,2024-03-04 19:58:12
render,request,request,2024-03-08 17:36:17,2024-03-08 17:36:18
queue,request,request,2024-03-05 12:18:36,2024-03-05 12:18:37
api-gateway,request,request,2024-03-09 21:53:52,2024-03-09 21:53:53
search,slow-query,slow-query,2024-03-05 00:03:50,2024-03-05 00:03:55
queue,request,request,2024-03-08 02:40:03,2024-03-08 02:40:04
auth,retry,retry,2024-03-07 20:40:18,2024-03-07 20:40:20
db-proxy,timeout,timeout,2024-03-09 15:22:41,2024-03-09 15:23:03
search,request,request,2024-03-06 16:39:46,2024-03-06 16:39:47
auth,retry,retry,2024-03-04 01:20:17,2024-03-04 01:20:18
queue,retry,retry,2024-03-09 17:12:06,2024-03-09 17:12:08
cdn,request,request,2024-03-09 19:09:01,2024-03-09 19:09:02
render,request,request,2024-03-04 22:52:47,2024-03-04 22:52:48
auth,error,error,2024-03-10 15:30:46,
cdn,request,request,2024-03-10 10:19:09,2024-03-10 10:19:09
queue,error,error,2024-03-07 05:16:55,
search,request,request,2024-03-06 01:43:36,2024-03-06 01:43:37
cdn,error,error,2024-03-07 00:34:12,
db-proxy,request,request,2024-03-08 17:41:54,2024-03-08 17:41:54
api-gateway,request,request,2024-03-06 23:04:40,2024-03-06 23:04:41
search,timeout,timeout,2024-03-09 03:22:30,2024-03-09 03:22:42
api-gateway,error,error,2024-03-07 17:08:14,
db-proxy,timeout,timeout,2024-03-10 21:41:45,2024-03-10 21:42:00
db-proxy,request,request,2024-03-08 21:13:36,2024-03-08 21:13:37
search,request,request,2024-03-04 07:38:38,2024-03-04 07:38:39
auth,error,error,2024-03-08 15:52:40,
queue,slow-query,slow-query,2024-03-10 23:32:07,2024-03-10 23:32:10
auth,request,request,2024-03-08 09:49:51,2024-03-08 09:49:51
api-gateway,request,request,2024-03-05 11:16:30,2024-03-05 11:16:31
billing,request,request,2024-03-06 09:55:28,2024-03-06 09:55:29
search,request,request,2024-03-10 14:54:18,2024-03-10 14:54:18
queue,request,request,2024-03-08 13:26:42,2024-03-08 13:26:42
render,request,request,2024-03-06 13:46:55,2024-03-06 13:46:55
auth,request,request,2024-03-06 05:25:17,2024-03-06 05:25:17
billing,request,request,2024-03-04 00:08:32,2024-03-04 00:08:34
cdn,retry,retry,2024-03-06 22:41:07,2024-03-06 22:41:07
auth,error,error,2024-03-07 10:10:01,
search,slow-query,slow-query,2024-03-04 20:52:22,2024-03-04 20:52:24
render,request,request,2024-03-10 14:24:29,2024-03-10 14:24:29
search,slow-query,slow-query,2024-03-08 02:54:01,2024-03-08 02:54:05
queue,request,request,2024-03-07 09:25:30,2024-03-07 09:25:31
queue,retry,retry,2024-03-09 17:27:19,2024-03-09 17:27:19
api-gateway,request,request,2024-03-06 22:06:01,2024-03-06 22:06:03
billing,request,request,2024-03-10 15:57:20,2024-03-10 15:57:21
billing,retry,retry,2024-03-09 09:53:22,2024-03-09 09:53:22
queue,slow-query,slow-query,2024-03-09 07:17:45,2024-03-09 07:17:49
db-proxy,request,request,2024-03-10 02:01:44,2024-03-10 02:01:45
render,error,error,2024-03-05 00:51:23,
render,request,request,2024-03-06 09:00:56,2024-03-06 09:00:57
render,timeout,timeout,2024-03-07 22:12:03,2024-03-07 22:12:21
api-gateway,request,request,2024-03-05 13:18:01,2024-03-05 13:18:02
search,request,request,2024-03-08 06:06:15,2024-03-08 06:06:16
search,retry,retry,2024-03-06 19:16:46,2024-03-06 19:16:47
billing,request,request,2024-03-07 03:11:39,2024-03-07 03:11:40
queue,request,request,2024-03-07 19:39:35,2024-03-07 19:39:36
auth,request,request,2024-03-10 11:23:44,2024-03-10 11:23:45
billing,request,request,2024-03-09 20:07:20,2024-03-09 20:07:20
db-proxy,slow-query,slow-query,2024-03-08 18:43:49,2024-03-08 18:43:56
api-gateway,request,request,2024-03-07 09:46:05,2024-03-07 09:46:06
db-proxy,retry,retry,2024-03-04 14:21:23,2024-03-04 14:21:24
queue,slow-query,slow-query,2024-03-10 07:05:35,2024-03-10 07:05:39
render,request,request,2024-03-04 17:46:09,2024-03-04 17:46:09
billing,retry,retry,2024-03-05 23:27:37,2024-03-05 23:27:38
render,request,request,2024-03-05 20:18:51,2024-03-05 20:18:51
queue,request,request,2024-03-10 13:55:05,2024-03-10 13:55:05
cdn,error,error,2024-03-07 21:05:53,
api-gateway,request,request,2024-03-08 07:44:39,2024-03-08 07:44:40
cdn,request,request,2024-03-07 00:48:51,2024-03-07 00:48:51
cdn,request,request,2024-03-06 06:16:24,2024-03-06 06:16:25
billing,request,request,2024-03-10 00:51:05,2024-03-10 00:51:07
api-gateway,slow-query,slow-query,2024-03-05 07:10:59,2024-03-05 07:11:03
search,request,request,2024-03-10 04:27:16,2024-03-10 04:27:16
cdn,request,request,2024-03-09 17:55:55,2024-03-09 17:55:56
auth,request,request,2024-03-08 17:41:44,2024-03-08 17:41:45
render,request,request,2024-03-06 16:05:02,2024-03-06 16:05:03
billing,request,request,2024-03-09 09:02:15,2024-03-09 09:02:15
cdn,timeout,timeout,2024-03-09 01:24:55,2024-03-09 01:25:10
api-gateway,request,request,2024-03-04 22:39:39,2024-03-04 22:39:39
search,request,request,2024-03-07 00:49:49,2024-03-07 00:49:51
render,request,request,2024-03-05 17:25:27,2024-03-05 17:25:27
cdn,request,request,2024-03-08 19:43:10,2024-03-08 19:43:11
cdn,slow-query,slow-query,2024-03-08 18:47:39,2024-03-08 18:47:43
render,request,request,2024-03-05 10:35:21,2024-03-05 10:35:22
api-gateway,request,request,2024-03-10 23:40:20,2024-03-10 23:40:21
render,timeout,timeout,2024-03-04 00:54:08,2024-03-04 00:54:26
render,request,request,2024-03-07 19:42:15,2024-03-07 19:42:16
db-proxy,request,request,2024-03-10 14:23:55,2024-03-10 14:23:55
cdn,error,error,2024-03-08 04:54:23,
