DieX,DieY,Bin,Parametric
24,6,Edge Fail,63.0
3,7,Edge Fail,61.7
4,7,Pass,75.2
5,7,Pass,80.2
6,7,Pass,78.8
7,7,Pass,79.4
8,7,Pass,77.4
9,7,Pass,78.2
10,7,Pass,78.2
11,7,Pass,75.3
12,7,Pass,80.8
13,7,Pass,80.6
14,7,Pass,77.2
15,7,Pass,77.4
16,7,Pass,76.4
17,7,Pass,75.3
18,7,Pass,75.8
19,7,Pass,78.7
20,7,Pass,76.7
21,7,Pass,76.1
22,7,Pass,78.8
23,7,Pass,75.9
24,7,Pass,79.5
2,8,Pass,78.9
3,8,Pass,80.5
4,8,Pass,80.7
5,8,Pass,78.8
6,8,Pass,80.0
7,8,Pass,75.3
8,8,Pass,76.8
9,8,Pass,77.7
10,8,Pass,80.8
11,8,Pass,77.5
12,8,Reticle Defect,48.9
13,8,Pass,78.3
14,8,Pass,80.5
15,8,Reticle Defect,45.5
16,8,Pass,76.0
17,8,Pass,79.2
18,8,Pass,80.6
19,8,Pass,77.1
20,8,Pass,75.3
21,8,Pass,75.6
22,8,Pass,79.1
23,8,Pass,76.5
24,8,Pass,78.2
25,8,Edge Fail,64.3
2,9,Edge Fail,63.2
3,9,Pass,76.9
4,9,Pass,77.4
5,9,Pass,80.5
6,9,Pass,78.6
7,9,Pass,77.9
8,9,Pass,80.3
9,9,Pass,77.5
10,9,Pass,79.3
11,9,Pass,78.5
12,9,Reticle Defect,48.1
13,9,Reticle Defect,45.3
14,9,Reticle Defect,45.9
15,9,Reticle Defect,49.6
16,9,Pass,78.1
17,9,Parametric Fail,56.7
18,9,Pass,80.9
19,9,Pass,76.8
20,9,Pass,76.0
21,9,Pass,80.5
22,9,Pass,79.4
23,9,Pass,80.4
24,9,Pass,76.8
25,9,Pass,76.5
1,10,Pass,79.2
2,10,Edge Fail,64.4
3,10,Pass,75.2
4,10,Pass,79.4
5,10,Pass,77.2
6,10,Pass,75.0
7,10,Pass,75.6
8,10,Pass,78.9
9,10,Pass,77.9
10,10,Pass,80.8
11,10,Pass,80.7
12,10,Reticle Defect,49.2
13,10,Reticle Defect,46.5
14,10,Reticle Defect,49.2
15,10,Reticle Defect,49.9
16,10,Pass,80.6
17,10,Pass,80.9
18,10,Pass,75.4
19,10,Pass,80.7
20,10,Pass,75.4
21,10,Pass,75.6
22,10,Parametric Fail,63.0
23,10,Pass,76.5
24,10,Pass,75.7
25,10,Edge Fail,65.1
26,10,Pass,79.0
1,11,Pass,79.6
2,11,Parametric Fail,59.0
3,11,Pass,76.8
4,11,Pass,77.6
5,11,Pass,79.6
6,11,Pass,80.9
7,11,Pass,77.2
8,11,Pass,78.4
9,11,Pass,78.2
10,11,Pass,76.9
11,11,Pass,79.7
12,11,Reticle Defect,48.1
13,11,Reticle Defect,46.6
14,11,Reticle Defect,48.8
15,11,Reticle Defect,48.2
16,11,Parametric Fail,59.0
17,11,Pass,77.4
18,11,Pass,78.8
19,11,Pass,75.6
20,11,Pass,76.2
21,11,Pass,78.1
22,11,Pass,76.7
23,11,Pass,79.2
24,11,Pass,77.3
25,11,Pass,76.4
26,11,Edge Fail,64.3
1,12,Edge Fail,65.9
2,12,Pass,78.0
3,12,Pass,79.3
4,12,Pass,79.7
5,12,Pass,75.0
6,12,Pass,77.7
7,12,Pass,80.2
8,12,Pass,78.3
9,12,Pass,76.4
10,12,Pass,76.6
11,12,Pass,77.9
12,12,Pass,77.8
13,12,Pass,79.3
14,12,Pass,78.3
15,12,Pass,78.7
16,12,Pass,80.8
17,12,Pass,79.4
18,12,Pass,79.6
19,12,Pass,76.9
20,12,Pass,80.6
21,12,Pass,80.2
22,12,Pass,76.7
23,12,Pass,76.2
24,12,Pass,78.2
25,12,Pass,79.0
26,12,Pass,77.6
1,13,Edge Fail,61.3
2,13,Pass,76.1
3,13,Pass,75.3
4,13,Pass,77.7
5,13,Pass,77.2
6,13,Pass,76.3
7,13,Pass,77.3
8,13,Pass,80.0
9,13,Pass,79.1
10,13,Pass,78.0
11,13,Pass,75.7
12,13,Pass,76.0
13,13,Pass,77.9
14,13,Pass,78.5
15,13,Pass,80.3
16,13,Pass,75.5
17,13,Pass,75.1
18,13,Pass,78.8
19,13,Pass,80.9
20,13,Pass,80.7
21,13,Pass,75.2
22,13,Pass,80.5
23,13,Pass,78.1
24,13,Pass,75.8
25,13,Pass,80.3
26,13,Pass,76.3
1,14,Pass,77.4
2,14,Pass,79.2
3,14,Pass,81.0
4,14,Pass,78.5
5,14,Pass,79.1
6,14,Pass,75.4
7,14,Pass,77.5
8,14,Pass,75.7
9,14,Pass,80.4
10,14,Pass,80.5
11,14,Pass,75.6
12,14,Pass,77.4
13,14,Pass,76.5
14,14,Pass,79.7
15,14,Pass,79.9
16,14,Pass,77.0
17,14,Pass,78.4
18,14,Pass,76.6
19,14,Pass,80.1
20,14,Pass,78.5
21,14,Pass,80.9
22,14,Pass,75.1
23,14,Pass,76.5
24,14,Pass,80.1
25,14,Pass,80.2
26,14,Pass,79.6
1,15,Pass,78.0
2,15,Pass,77.9
3,15,Pass,80.4
4,15,Pass,78.3
5,15,Pass,80.8
6,15,Pass,78.3
7,15,Pass,75.9
8,15,Pass,75.4
9,15,Pass,81.0
10,15,Pass,78.5
11,15,Pass,80.1
12,15,Pass,77.3
13,15,Pass,75.6
14,15,Pass,75.2
15,15,Pass,76.3
16,15,Pass,78.6
17,15,Pass,80.3
18,15,Pass,76.5
19,15,Pass,75.6
20,15,Pass,75.5
21,15,Pass,75.4
22,15,Pass,76.5
23,15,Pass,75.7
24,15,Pass,78.0
25,15,Pass,75.2
26,15,Pass,76.8
1,16,Pass,76.4
2,16,Pass,77.5
3,16,Pass,77.2
4,16,Pass,79.0
5,16,Pass,75.8
6,16,Pass,77.1
7,16,Pass,76.5
8,16,Pass,78.7
9,16,Pass,78.6
10,16,Pass,79.4
11,16,Pass,79.2
12,16,Pass,79.4
13,16,Pass,75.0
14,16,Pass,80.7
15,16,Pass,75.9
16,16,Pass,78.7
17,16,Pass,78.8
18,16,Pass,80.5
19,16,Pass,77.8
20,16,Pass,77.4
21,16,Pass,78.8
22,16,Pass,77.4
23,16,Pass,77.1
24,16,Pass,80.8
25,16,Pass,79.0
26,16,Pass,78.5
1,17,Pass,80.9
2,17,Pass,77.0
3,17,Pass,77.4
4,17,Pass,77.9
5,17,Pass,78.6
6,17,Pass,78.7
7,17,Pass,78.5
8,17,Pass,80.5
9,17,Pass,76.8
10,17,Pass,80.0
11,17,Pass,79.2
12,17,Pass,80.6
13,17,Pass,76.0
14,17,Pass,80.6
15,17,Pass,76.1
16,17,Pass,77.8
17,17,Pass,79.5
18,17,Pass,76.8
19,17,Pass,79.3
20,17,Pass,76.2
21,17,Pass,79.5
22,17,Pass,77.2
23,17,Pass,80.1
24,17,Pass,77.9
25,17,Pass,77.7
26,17,Pass,79.8
2,18,Pass,80.0
3,18,Pass,75.8
4,18,Pass,77.1
5,18,Pass,77.5
6,18,Pass,80.7
7,18,Pass,77.1
8,18,Pass,80.9
9,18,Pass,79.5
10,18,Pass,78.5
11,18,Pass,78.8
12,18,Pass,76.3
13,18,Pass,77.1
14,18,Pass,76.4
15,18,Pass,78.4
16,18,Pass,79.1
17,18,Pass,80.9
18,18,Pass,75.9
19,18,Pass,75.1
20,18,Pass,77.7
21,18,Pass,76.5
22,18,Pass,79.4
23,18,Pass,77.0
24,18,Pass,79.7
25,18,Pass,77.4
2,19,Pass,78.4
3,19,Pass,75.3
4,19,Pass,80.8
5,19,Pass,76.2
6,19,Pass,77.4
7,19,Pass,76.0
8,19,Pass,76.4
9,19,Pass,78.8
10,19,Pass,77.3
11,19,Pass,75.7
12,19,Pass,78.2
13,19,Pass,78.4
14,19,Pass,79.8
15,19,Pass,75.1
16,19,Pass,77.0
17,19,Pass,77.7
18,19,Pass,79.1
19,19,Pass,76.7
20,19,Pass,75.5
21,19,Pass,76.0
22,19,Pass,79.3
23,19,Pass,76.2
24,19,Pass,80.9
25,19,Pass,78.1
3,20,Pass,76.2
4,20,Pass,78.2
5,20,Pass,75.3
6,20,Pass,76.5
7,20,Pass,77.7
8,20,Pass,79.6
9,20,Pass,75.7
10,20,Pass,76.7
11,20,Pass,77.8
12,20,Pass,78.2
13,20,Pass,77.0
14,20,Pass,76.7
15,20,Pass,79.9
16,20,Pass,76.9
17,20,Pass,76.6
18,20,Pass,77.9
19,20,Pass,80.3
20,20,Reticle Defect,51.1
21,20,Reticle Defect,51.2
22,20,Reticle Defect,49.0
23,20,Reticle Defect,52.6
24,20,Pass,78.0
3,21,Pass,77.1
4,21,Pass,79.6
5,21,Pass,76.5
6,21,Pass,79.8
7,21,Pass,79.1
8,21,Pass,80.5
9,21,Pass,80.1
10,21,Pass,76.8
11,21,Pass,77.6
12,21,Pass,78.8
13,21,Pass,77.6
14,21,Pass,75.8
15,21,Pass,77.0
16,21,Pass,75.1
17,21,Pass,75.3
18,21,Pass,75.9
19,21,Pass,80.2
20,21,Reticle Defect,48.9
21,21,Reticle Defect,48.8
22,21,Reticle Defect,49.2
23,21,Pass,80.0
24,21,Edge Fail,61.4
4,22,Edge Fail,62.7
5,22,Pass,77.9
6,22,Pass,80.6
7,22,Pass,78.8
8,22,Pass,80.2
9,22,Pass,79.9
10,22,Pass,77.8
11,22,Pass,77.7
12,22,Pass,75.1
13,22,Pass,76.6
14,22,Pass,78.9
15,22,Pass,78.0
16,22,Pass,77.5
17,22,Pass,76.3
18,22,Pass,75.7
19,22,Pass,76.2
20,22,Pass,78.8
21,22,Pass,78.4
22,22,Pass,76.2
23,22,Pass,79.9
5,23,Pass,79.5
6,23,Pass,78.6
7,23,Pass,75.1
8,23,Pass,76.6
9,23,Pass,77.0
10,23,Pass,79.0
11,23,Pass,76.3
12,23,Pass,79.7
13,23,Pass,77.4
14,23,Pass,77.1
15,23,Pass,78.5
16,23,Pass,78.3
17,23,Pass,80.6
18,23,Pass,76.2
19,23,Pass,75.0
20,23,Pass,79.6
21,23,Reticle Defect,52.9
22,23,Edge Fail,62.3
6,24,Edge Fail,64.8
7,24,Pass,75.8
8,24,Pass,77.2
9,24,Pass,78.0
10,24,Pass,76.0
11,24,Pass,76.8
12,24,Pass,75.2
13,24,Pass,80.7
14,24,Pass,79.0
15,24,Pass,80.5
16,24,Pass,75.3
17,24,Pass,78.9
18,24,Pass,76.5
19,24,Pass,78.5
20,24,Pass,80.2
21,24,Pass,79.1
8,25,Pass,80.7
9,25,Pass,76.6
10,25,Edge Fail,61.5
11,25,Pass,77.0
12,25,Pass,80.5
13,25,Pass,79.1
14,25,Pass,79.6
15,25,Pass,79.0
16,25,Pass,78.1
17,25,Edge Fail,61.2
18,25,Pass,75.1
19,25,Edge Fail,65.1
10,26,Edge Fail,60.2
11,26,Edge Fail,61.0
12,26,Pass,79.5
13,26,Edge Fail,64.6
14,26,Pass,77.9
15,26,Pass,77.4
16,26,Pass,80.7
17,26,Pass,78.9
